id,sub_id,text
language,,JP
$C3310_MAIN_0300_0100_00_eln,,じゃあ　復唱して
$C3310_MAIN_0300_0100_00_eln,ACTOR,イリーナ
$C3310_MAIN_0300_0105_00_skm,,<br><i>エリア７　２０５　２４６</i><br>
$C3310_MAIN_0300_0105_00_skm,ACTOR,<i>無線</i>
$C3310_MAIN_0300_0110_00_eln,,あーそうそう　『北の大陸』
$C3310_MAIN_0300_0110_00_eln,ACTOR,イリーナ
$C3310_MAIN_0300_0120_00_skm,,<br><i>了解</i><br>
$C3310_MAIN_0300_0120_00_skm,ACTOR,<i>無線</i>
$C3310_MAIN_0300_0200_00_eln,,全機　神殿の座標共有しました！
$C3310_MAIN_0300_0200_00_eln,ACTOR,イリーナ
$C3310_MAIN_0300_0200_03_lud,,
$C3310_MAIN_0300_0200_03_lud,ACTOR,ルード
$C3310_MAIN_0300_0200_05_eln,,
$C3310_MAIN_0300_0200_05_eln,ACTOR,イリーナ
$C3310_MAIN_0300_0300_00_eln,,あの……調べたんですけど
$C3310_MAIN_0300_0300_00_eln,ACTOR,イリーナ
$C3310_MAIN_0300_0310_00_eln,,キーストーンの呪いって<br>けっこう　信憑性高いですよ
$C3310_MAIN_0300_0310_00_eln,ACTOR,イリーナ
$C3310_MAIN_0300_0400_00_eln,,使った人は死んじゃうんです
$C3310_MAIN_0300_0400_00_eln,ACTOR,イリーナ
$C3310_MAIN_0300_0500_00_lud,,ちがう
$C3310_MAIN_0300_0500_00_lud,ACTOR,ルード
$C3310_MAIN_0300_0600_00_lud,,文献にあるのは『キーストーンを使って神殿に入り<br>出てきた者はいない』だ
$C3310_MAIN_0300_0600_00_lud,ACTOR,ルード
$C3310_MAIN_0300_0700_00_eln,,同じですよ！
$C3310_MAIN_0300_0700_00_eln,ACTOR,イリーナ
$C3310_MAIN_0300_0710_00_eln,,それなのに　社長はみんなを行かせるんですよ
$C3310_MAIN_0300_0710_00_eln,ACTOR,イリーナ
$C3310_MAIN_0300_0800_00_eln,,ひどくないですか？
$C3310_MAIN_0300_0800_00_eln,ACTOR,イリーナ
$C3310_MAIN_0300_0900_00_lud,,社長も行くそうだ
$C3310_MAIN_0300_0900_00_lud,ACTOR,ルード
$C3310_MAIN_0300_1000_00_eln,,どういう神経
$C3310_MAIN_0300_1000_00_eln,ACTOR,イリーナ
$C3310_MAIN_0300_1100_00_ren,,さすがだぞ　と
$C3310_MAIN_0300_1100_00_ren,ACTOR,レノ
$C3310_MAIN_0300_1200_00_eln,,さすがっていうか　無謀ですよ！<br>まあ　嫌いじゃないですけど
$C3310_MAIN_0300_1200_00_eln,ACTOR,イリーナ
$C3310_MAIN_0300_1300_00_tsu,,出発だ
$C3310_MAIN_0300_1300_00_tsu,ACTOR,ツォン
$C3310_MAIN_0300_1310_00_tsu,,我々が先行し　神殿の門を開く
$C3310_MAIN_0300_1310_00_tsu,ACTOR,ツォン
$C3310_MAIN_0300_1310_05_eln,,
$C3310_MAIN_0300_1310_05_eln,ACTOR,イリーナ
$C3310_MAIN_0300_1400_00_lud,,了解
$C3310_MAIN_0300_1400_00_lud,ACTOR,ルード
$C3310_MAIN_0400_0100_00_vin,,連中は　北の大陸に飛ぶようだ
$C3310_MAIN_0400_0100_00_vin,ACTOR,ヴィンセント
$C3310_MAIN_0400_0200_00_cid,,あ～　あっちか……
$C3310_MAIN_0400_0200_00_cid,ACTOR,シド
$C3310_MAIN_0400_0300_00_art,,行けそう？
$C3310_MAIN_0400_0300_00_art,ACTOR,エアリス
$C3310_MAIN_0400_0400_00_cid,,だいじょーぶ　オレ様の腕は特がつく上だ！
$C3310_MAIN_0400_0400_00_cid,ACTOR,シド
$C3310_MAIN_0400_0500_00_cid,,たとえ　翼をもがれようとも<br>大波かきわけて　渡ってやろうじゃねえか
$C3310_MAIN_0400_0500_00_cid,ACTOR,シド
$C3310_MAIN_0400_0600_00_yfi,,それって　揺れるってことだよね？
$C3310_MAIN_0400_0600_00_yfi,ACTOR,ユフィ
$C3310_MAIN_0400_0700_00_cid,,そりゃあな<br>まあ　人生に荒波はつきもんだ
$C3310_MAIN_0400_0700_00_cid,ACTOR,シド
$C3310_MAIN_0400_0700_05_yfi,,
$C3310_MAIN_0400_0700_05_yfi,ACTOR,ユフィ
$C3310_MAIN_0400_0800_00_vin,,神羅はタークスと軍が動く
$C3310_MAIN_0400_0800_00_vin,ACTOR,ヴィンセント
$C3310_MAIN_0400_0900_00_vin,,身辺整理をしておくんだな
$C3310_MAIN_0400_0900_00_vin,ACTOR,ヴィンセント
$C3310_MAIN_0800_0100_00_ruf,,まもなくだな
$C3310_MAIN_0800_0100_00_ruf,ACTOR,ルーファウス
$C3310_MAIN_0800_0200_00_hjo,,思うに　目指す神殿は<br>約束の地ではないと思うねえ
$C3310_MAIN_0800_0200_00_hjo,ACTOR,宝条
$C3310_MAIN_0800_0300_00_ruf,,では　博士の見立ては？
$C3310_MAIN_0800_0300_00_ruf,ACTOR,ルーファウス
$C3310_MAIN_0800_0300_03_rch,,
$C3310_MAIN_0800_0300_03_rch,ACTOR,ローチェ
$C3310_MAIN_0800_0300_04_mnt,,
$C3310_MAIN_0800_0300_07_hjo,,
$C3310_MAIN_0800_0300_07_hjo,ACTOR,宝条
$C3310_MAIN_0800_0400_00_hjo,,予言者の降臨　しもべたちの祝福
$C3310_MAIN_0800_0400_00_hjo,ACTOR,宝条
$C3310_MAIN_0800_0500_00_hjo,,言わば　歴史のターニングポイント
$C3310_MAIN_0800_0500_00_hjo,ACTOR,宝条
$C3310_MAIN_0800_0510_00_hjo,,神殿は　その舞台とでも言っておこうか
$C3310_MAIN_0800_0510_00_hjo,ACTOR,宝条
$C3310_MAIN_0800_0600_00_tsu,,<i>目標を発見しました</i>
$C3310_MAIN_0800_0600_00_tsu,ACTOR,<i>ツォン</i>
$C3310_MAIN_0900_0000_05_tsu,,
$C3310_MAIN_0900_0000_05_tsu,ACTOR,ツォン
$C3310_MAIN_0900_0100_00_eln,,本当に　ここですか？
$C3310_MAIN_0900_0100_00_eln,ACTOR,イリーナ
$C3310_MAIN_0900_0200_00_tsu,,確かめよう
$C3310_MAIN_0900_0200_00_tsu,ACTOR,ツォン
$C3310_MAIN_0900_0200_05_tsu,,
$C3310_MAIN_0900_0200_05_tsu,ACTOR,ツォン
$C3310_MAIN_0900_0200_07_tsu,,
$C3310_MAIN_0900_0200_07_tsu,ACTOR,ツォン
$C3310_MAIN_0900_0200_11_eln,,
$C3310_MAIN_0900_0200_11_eln,ACTOR,イリーナ
$C3310_MAIN_0900_0200_13_lud,,
$C3310_MAIN_0900_0200_13_lud,ACTOR,ルード
$C3310_MAIN_0900_0300_00_tsu,,
$C3310_MAIN_0900_0300_00_tsu,ACTOR,ツォン
$C3310_MAIN_0900_0300_05_eln,,
$C3310_MAIN_0900_0300_05_eln,ACTOR,イリーナ
$C3310_MAIN_0900_0300_08_lud,,
$C3310_MAIN_0900_0300_08_lud,ACTOR,ルード
$C3310_MAIN_0900_0300_10_ren,,
$C3310_MAIN_0900_0300_10_ren,ACTOR,レノ
$C3310_MAIN_0950_0050_00_hjo,,
$C3310_MAIN_0950_0050_00_hjo,ACTOR,宝条
$C3310_MAIN_1000_0100_00_red,,見て　見てよ！
$C3310_MAIN_1000_0100_00_red,ACTOR,レッドXIII
$C3310_MAIN_1000_0200_00_yfi,,見てる……
$C3310_MAIN_1000_0200_00_yfi,ACTOR,ユフィ
$C3310_MAIN_1000_0300_00_cid,,よっしゃ　野郎ども　帆をあげろ！
$C3310_MAIN_1000_0300_00_cid,ACTOR,シド
$C3310_MAIN_1000_0400_00_yfi,,そんなのありませ～ん
$C3310_MAIN_1000_0400_00_yfi,ACTOR,ユフィ
$C3310_MAIN_1000_0410_00_yfi,,あと　野郎じゃありませ～ん！
$C3310_MAIN_1000_0410_00_yfi,ACTOR,ユフィ
$C3310_MAIN_1000_0410_05_yfi,,
$C3310_MAIN_1000_0410_05_yfi,ACTOR,ユフィ
$C3310_MAIN_1000_0500_00_cid,,雰囲気だ　雰囲気！
$C3310_MAIN_1000_0500_00_cid,ACTOR,シド
$C3310_MAIN_1000_0600_00_cid,,よっしゃあ　大海原へと漕ぎだすぜ！
$C3310_MAIN_1000_0600_00_cid,ACTOR,シド
$C3310_MAIN_1000_0700_00_art,,アイアイサー！
$C3310_MAIN_1000_0700_00_art,ACTOR,ティファ＆エアリス
$C3310_MAIN_1000_0800_00_tif,,
$C3310_MAIN_1000_0800_00_tif,ACTOR,ティファ
$C3310_MAIN_1000_0900_00_cid,,
$C3310_MAIN_1000_0900_00_cid,ACTOR,シド
$C3310_MAIN_1000_1000_00_yfi,,
$C3310_MAIN_1000_1000_00_yfi,ACTOR,ユフィ
$C3310_MAIN_1050_0100_00_sys,,この大陸に上陸しますか？<br>（上陸すると戻れなくなります）
$C3310_MAIN_1050_0200_00_sys,,はい
$C3310_MAIN_1050_0300_00_sys,,いいえ
$C3310_MAIN_1100_0100_00_art,,空気　ざわざわしてる
$C3310_MAIN_1100_0100_00_art,ACTOR,エアリス
$C3310_MAIN_1100_0200_00_cid,,ちょこっと無理させちまったから<br>こいつの整備をしておきてえ
$C3310_MAIN_1100_0200_00_cid,ACTOR,シド
$C3310_MAIN_1100_0300_00_cid,,先　行っててくれ
$C3310_MAIN_1100_0300_00_cid,ACTOR,シド
$C3310_MAIN_1100_0400_00_cld,,大丈夫なのか
$C3310_MAIN_1100_0400_00_cld,ACTOR,クラウド
$C3310_MAIN_1100_0500_00_cid,,オレ様だぜ？
$C3310_MAIN_1100_0500_00_cid,ACTOR,シド
$C3310_MAIN_1100_0500_05_cld,,
$C3310_MAIN_1100_0500_05_cld,ACTOR,クラウド
$C3310_MAIN_1150_0100_00_cid,,さくっと直して　追いかけっからよ
$C3310_MAIN_1150_0100_00_cid,ACTOR,シド
$C3310_MAIN_1150_0200_00_cid,,ぼちぼち　翼も直してやりてえな
$C3310_MAIN_1150_0200_00_cid,ACTOR,シド
$C3310_MAIN_1160_0100_00_vin,,外出は久しぶりだ　疲れる
$C3310_MAIN_1160_0100_00_vin,ACTOR,ヴィンセント
$C3310_MAIN_1160_0200_00_vin,,自然は強敵だな……
$C3310_MAIN_1160_0200_00_vin,ACTOR,ヴィンセント
$C3310_MAIN_1200_0100_00_blt,,古代種ってのは　すげえな
$C3310_MAIN_1200_0100_00_blt,ACTOR,バレット
