id,sub_id,text
language,,US
$C2910_MAIN_0200_0100_00_yfi,,Uh-oh...
$C2910_MAIN_0200_0100_00_yfi,ACTOR,Yuffie
$C2910_MAIN_0200_0200_00_cid,,What?
$C2910_MAIN_0200_0200_00_cid,ACTOR,Cid
$C2910_MAIN_0200_0300_00_yfi,,Thought maybe planes would be okay...but nope.
$C2910_MAIN_0200_0300_00_yfi,ACTOR,Yuffie
$C2910_MAIN_0200_0400_00_cid,,Not in here! Open a window!
$C2910_MAIN_0200_0400_00_cid,ACTOR,Cid
$C2910_MAIN_0200_0500_00_yfi,,Uhblblbl.
$C2910_MAIN_0200_0500_00_yfi,ACTOR,Yuffie
$C2910_MAIN_0300_0100_00_blt,,"Hey, Cid."
$C2910_MAIN_0300_0100_00_blt,ACTOR,Barret
$C2910_MAIN_0300_0200_00_cid,,Yeah?
$C2910_MAIN_0300_0200_00_cid,ACTOR,Cid
$C2910_MAIN_0300_0300_00_blt,,You not worried about flyin' around in the open like this? What if Shinra sees us?
$C2910_MAIN_0300_0300_00_blt,ACTOR,Barret
$C2910_MAIN_0300_0400_00_cid,,Shinra don't own the skies! Shitheads couldn't stop me even if they tried.
$C2910_MAIN_0300_0400_00_cid,ACTOR,Cid
$C2910_MAIN_0300_0500_00_blt,,Hahaha! I think you and me are gonna get along just fine.
$C2910_MAIN_0300_0500_00_blt,ACTOR,Barret
$C2910_MAIN_0400_0100_00_red,,We're getting pretty close now.
$C2910_MAIN_0400_0100_00_red,ACTOR,Red XIII
$C2910_MAIN_0400_0200_00_cid,,Yep! Bringin' her down!
$C2910_MAIN_0400_0200_00_cid,ACTOR,Cid
$C2910_MAIN_0500_0049_05_cid,,
$C2910_MAIN_0500_0049_05_cid,ACTOR,
$C2910_MAIN_0500_0050_00_cid,,"Okay, folks! We're here!"
$C2910_MAIN_0500_0050_00_cid,ACTOR,Cid
$C2910_MAIN_0500_0050_09_yfi,,
$C2910_MAIN_0500_0050_09_yfi,ACTOR,
$C2910_MAIN_0500_0050_15_yfi,,
$C2910_MAIN_0500_0050_15_yfi,ACTOR,
$C2910_MAIN_0500_0050_19_cid,,
$C2910_MAIN_0500_0050_19_cid,ACTOR,
$C2910_MAIN_0500_0100_00_cid,,Brought ya as far as I could.
$C2910_MAIN_0500_0100_00_cid,ACTOR,Cid
$C2910_MAIN_0500_0110_00_cid,,"Hope y'all don't mind walkin',<br>'cause now you're on your own!"
$C2910_MAIN_0500_0110_00_cid,ACTOR,Cid
$C2910_MAIN_0500_0200_00_blt,,What about the next time we need a lift?
$C2910_MAIN_0500_0200_00_blt,ACTOR,Barret
$C2910_MAIN_0500_0200_05_cid,,
$C2910_MAIN_0500_0200_05_cid,ACTOR,
$C2910_MAIN_0500_0300_00_cid,,Send up a signal.
$C2910_MAIN_0500_0300_00_cid,ACTOR,Cid
$C2910_MAIN_0500_0310_00_cid,,Just make sure I got room to land.
$C2910_MAIN_0500_0310_00_cid,ACTOR,Cid
$C2910_MAIN_0500_0400_00_cid,,Happy trails to ya!
$C2910_MAIN_0500_0400_00_cid,ACTOR,Cid
$C2910_MAIN_0500_0400_05_cid,,
$C2910_MAIN_0500_0400_05_cid,ACTOR,
$C2910_MAIN_0500_0500_00_red,,The vale's this way.
$C2910_MAIN_0500_0500_00_red,ACTOR,Red XIII
$C2910_MAIN_0600_0100_00_red,,Behold Cosmo Canyon. A sacred sanctuary where the planet's greatest minds gather.
$C2910_MAIN_0600_0100_00_red,ACTOR,Red XIII
$C2910_MAIN_0600_0200_00_blt,,"It's...beautiful. More than I ever imagined. C'mon, let's pick up the pace! I can hear it callin' my name!"
$C2910_MAIN_0600_0200_00_blt,ACTOR,Barret
$C2910_MAIN_0600_0300_00_art,,"Yeah, me too!"
$C2910_MAIN_0600_0300_00_art,ACTOR,Aerith
$C2910_MAIN_0700_0100_00_cat,,"Hey, so...I've been meaning to ask you something."
$C2910_MAIN_0700_0100_00_cat,ACTOR,Cait Sith
$C2910_MAIN_0700_0200_00_cat,,"You said old Sephiroth's come back from the dead, right?"
$C2910_MAIN_0700_0200_00_cat,ACTOR,Cait Sith
$C2910_MAIN_0700_0400_00_cat,,And that that's a bad thing. So...what I want to know is...
$C2910_MAIN_0700_0400_00_cat,ACTOR,Cait Sith
$C2910_MAIN_0700_0410_00_cat,,How'd he do it? And what's he after?
$C2910_MAIN_0700_0410_00_cat,ACTOR,Cait Sith
$C2910_MAIN_0700_0500_00_cld,,He wants to save the planet.
$C2910_MAIN_0700_0500_00_cld,ACTOR,Cloud
$C2910_MAIN_0700_0600_00_cat,,But...wouldn't that make him a good guy?
$C2910_MAIN_0700_0600_00_cat,ACTOR,Cait Sith
$C2910_MAIN_0700_0700_00_cld,,"It's not what he's doing, but how. He doesn't give a shit if everyone dies in the process."
$C2910_MAIN_0700_0700_00_cld,ACTOR,Cloud
$C2910_MAIN_0700_0800_00_cat,,"Sounds like a total nutter. I mean, there's not much point in having a planet if there's no one left to enjoy it, is there?"
$C2910_MAIN_0700_0800_00_cat,ACTOR,Cait Sith
$C2910_MAIN_0700_0900_00_blt,,"That said, let's not forget that we still got a whole 'nother problem."
$C2910_MAIN_0700_0900_00_blt,ACTOR,Barret
$C2910_MAIN_0700_1000_00_blt,,One that's reared its ugly head time and time again. Buncha assholes who won't stop till they've bled the planet dry─Shinra.
$C2910_MAIN_0700_1000_00_blt,ACTOR,Barret
$C2910_MAIN_0700_1100_00_cat,,Hm!?
$C2910_MAIN_0700_1100_00_cat,ACTOR,Cait Sith
$C2910_MAIN_0700_1200_00_blt,,"To hit 'em where it hurts, we'll need to leverage those connections of yours. But if you even <i>think</i> about stabbin' us in the back..."
$C2910_MAIN_0700_1200_00_blt,ACTOR,Barret
$C2910_MAIN_0700_1300_00_blt,,I'm gonna hug and squeeze ya─to death. Y'hear me?
$C2910_MAIN_0700_1300_00_blt,ACTOR,Barret
$C2910_MAIN_0700_1400_00_cat,,Loud and clear!
$C2910_MAIN_0700_1400_00_cat,ACTOR,Cait Sith
