id,sub_id,text
language,,US
$C1910_MAIN_0100_0050_00_sep,,"Come quickly, Cloud."
$C1910_MAIN_0100_0050_00_sep,ACTOR,Sephiroth
$C1910_MAIN_0100_0070_00_mma,,Live from the Midgar Highway.
$C1910_MAIN_0100_0070_00_mma,ACTOR,Reporter
$C1910_MAIN_0100_0080_00_mma,,"Can you see it? A building has completely collapsed, and the road has caved in."
$C1910_MAIN_0100_0080_00_mma,ACTOR,Reporter
$C1910_MAIN_0100_0090_00_mma,,"Smoke is rising from multiple buildings, and flames can be seen."
$C1910_MAIN_0100_0090_00_mma,ACTOR,Reporter
$C1910_MAIN_0100_0100_00_mma,,"Currently, Midgar is facing an unprecedented crisis."
$C1910_MAIN_0100_0100_00_mma,ACTOR,Reporter
$C1910_MAIN_0100_0110_00_mma,,"The Mako Reactor bombing, the Sector 7 Plate——"
$C1910_MAIN_0100_0110_00_mma,ACTOR,Reporter
$C1910_MAIN_0100_0120_00_mma,,"Following the collapse of the Sector 7 Plate,"
$C1910_MAIN_0100_0120_00_mma,ACTOR,Reporter
$C1910_MAIN_0100_0200_00_mma,,A tornado that suddenly appeared on the Midgar Highway
$C1910_MAIN_0100_0200_00_mma,ACTOR,Reporter
$C1910_MAIN_0100_0300_00_mma,,has caused tremendous damage from Sector 0 to Sector 2.
$C1910_MAIN_0100_0300_00_mma,ACTOR,Reporter
$C1910_MAIN_0100_0310_00_mma,,
$C1910_MAIN_0100_0311_00_mma,,
$C1910_MAIN_0100_0320_00_mfa,,
$C1910_MAIN_0100_0321_00_mma,,
$C1910_MAIN_0100_0330_00_mfa,,
$C1910_MAIN_0100_0331_00_mma,,
$C1910_MAIN_0100_0332_00_mma,,
$C1910_MAIN_0100_0340_00_skm,,
$C1910_MAIN_0100_0341_00_skm,,
$C1910_MAIN_0100_0342_00_skm,,
$C1910_MAIN_0100_0400_00_mma,,"Mayor Domino and the city authorities, with advice from the Shinra Company,"
$C1910_MAIN_0100_0400_00_mma,ACTOR,Reporter
$C1910_MAIN_0100_0500_00_mma,,"have stated that this tornado is due to the anti-Shinra group ""Avalanche"""
$C1910_MAIN_0100_0500_00_mma,ACTOR,Reporter
$C1910_MAIN_0100_0510_00_mma,,"using an unknown weapon, according to their announcement."
$C1910_MAIN_0100_0510_00_mma,ACTOR,Reporter
$C1910_MAIN_0100_0600_00_mma,,"They will continue to investigate, considering the involvement of Wutai, currently under a ceasefire."
$C1910_MAIN_0100_0600_00_mma,ACTOR,Reporter
$C1910_MAIN_0100_0600_05_mma,,
$C1910_MAIN_0100_0600_05_mma,ACTOR,Reporter
$C1910_MAIN_0200_0000_05_zax,,
$C1910_MAIN_0200_0000_05_zax,ACTOR,Zack
$C1910_MAIN_0200_0100_00_kre,,I heard that Midgar was completely caught in the tornado.
$C1910_MAIN_0200_0100_00_kre,ACTOR,Kyrie
$C1910_MAIN_0200_0100_03_zax,,
$C1910_MAIN_0200_0100_03_zax,ACTOR,Zack
$C1910_MAIN_0200_0200_00_mma,,I heard it was some kind of explosion.
$C1910_MAIN_0200_0200_00_mma,ACTOR,Slum Resident
$C1910_MAIN_0200_0300_00_kre,,Maybe the tornado caused an explosion?
$C1910_MAIN_0200_0300_00_kre,ACTOR,Kyrie
$C1910_MAIN_0200_0400_00_mma,,Too many things are happening one after another.
$C1910_MAIN_0200_0400_00_mma,ACTOR,Slum Resident
$C1910_MAIN_0200_0400_05_kre,,
$C1910_MAIN_0200_0400_05_kre,ACTOR,Kyrie
$C1910_MAIN_0200_0401_00_mma,,"<i>Currently, Midgar is facing an unprecedented crisis.</i>"
$C1910_MAIN_0200_0401_00_mma,ACTOR,<i>Reporter</i>
$C1910_MAIN_0200_0402_00_mma,,"<i>The Mako Reactor bombing, the Sector 7 Plate</i>"
$C1910_MAIN_0200_0402_00_mma,ACTOR,<i>Reporter</i>
$C1910_MAIN_0200_0403_00_mma,,<i>Following the collapse of the Sector 7 Plate——</i>
$C1910_MAIN_0200_0403_00_mma,ACTOR,<i>Reporter</i>
$C1910_MAIN_0200_0404_00_mma,,
$C1910_MAIN_0200_0404_00_mma,ACTOR,Reporter
$C1910_MAIN_0200_0404_01_mma,,
$C1910_MAIN_0200_0404_01_mma,ACTOR,Reporter
$C1910_MAIN_0200_0405_00_mma,,<i>We’ll continue bringing you this live broadcast from the scene.</i>
$C1910_MAIN_0200_0405_00_mma,ACTOR,<i>Reporter</i>
$C1910_MAIN_0200_0405_03_zax,,
$C1910_MAIN_0200_0405_03_zax,ACTOR,Zack
$C1910_MAIN_0200_0406_00_mma,,Search efforts by the Shinra military are still ongoing on the collapsed highway.
$C1910_MAIN_0200_0406_00_mma,ACTOR,Reporter
$C1910_MAIN_0200_0407_00_mma,,
$C1910_MAIN_0200_0407_00_mma,ACTOR,Reporter
$C1910_MAIN_0200_0410_00_skm,,"One missing person, a former SOLDIER."
$C1910_MAIN_0200_0410_00_skm,ACTOR,Security Guard
$C1910_MAIN_0200_0420_00_skm,,"Carrying a large sword, the Buster Sword, with a risk of escape."
$C1910_MAIN_0200_0420_00_skm,ACTOR,Security Guard
$C1910_MAIN_0200_0421_00_skm,,<i>Repeat: The fugitive is a former SOLDIER carrying the Buster Sword——</i>
$C1910_MAIN_0200_0421_00_skm,ACTOR,<i>Security Guard</i>
$C1910_MAIN_0200_0430_00_zax,,
$C1910_MAIN_0200_0430_00_zax,ACTOR,Zack
$C1910_MAIN_0200_0440_00_mma,,"Hey, over there!"
$C1910_MAIN_0200_0440_00_mma,ACTOR,Reporter
$C1910_MAIN_0200_0442_00_mma,,Is that someone who was rescued?
$C1910_MAIN_0200_0442_00_mma,ACTOR,Reporter
$C1910_MAIN_0200_0450_00_skm,,
$C1910_MAIN_0200_0450_00_skm,ACTOR,Rescue Team
$C1910_MAIN_0200_0451_00_skm,,
$C1910_MAIN_0200_0451_00_skm,ACTOR,Rescue Team
$C1910_MAIN_0200_0460_00_skm,,
$C1910_MAIN_0200_0460_00_skm,ACTOR,Rescue Team
$C1910_MAIN_0200_0461_00_skm,,
$C1910_MAIN_0200_0461_00_skm,ACTOR,Rescue Team
$C1910_MAIN_0200_0462_00_skm,,"Hey...over here, over here!"
$C1910_MAIN_0200_0462_00_skm,ACTOR,Rescue Team
$C1910_MAIN_0200_0470_00_mma,,"Oh no, turn it that way, that way!"
$C1910_MAIN_0200_0470_00_mma,ACTOR,Reporter
$C1910_MAIN_0200_0470_08_mma,,
$C1910_MAIN_0200_0470_08_mma,ACTOR,Reporter
$C1910_MAIN_0200_0480_00_skm,,
$C1910_MAIN_0200_0480_00_skm,ACTOR,Security Guard
$C1910_MAIN_0200_0481_00_skm,,Contact the rescue team.
$C1910_MAIN_0200_0481_00_skm,ACTOR,Security Guard
$C1910_MAIN_0200_0482_00_skm,,We’ve secured the recovery target. Returning by helicopter now.
$C1910_MAIN_0200_0482_00_skm,ACTOR,Security Guard
$C1910_MAIN_0200_0483_00_skm,,"Hurry, we’re leaving!"
$C1910_MAIN_0200_0483_00_skm,ACTOR,Security Guard
$C1910_MAIN_0200_0500_00_zax,,
$C1910_MAIN_0200_0500_00_zax,ACTOR,Zack
$C1910_MAIN_0200_0600_00_skm,,"Hey, what are you doing?!"
$C1910_MAIN_0200_0600_00_skm,ACTOR,Security Guard
$C1910_MAIN_0200_0600_03_mma,,
$C1910_MAIN_0200_0600_03_mma,ACTOR,Cameraman
$C1910_MAIN_0200_0600_05_skm,,
$C1910_MAIN_0200_0600_05_skm,ACTOR,Security Guard
$C1910_MAIN_0200_0610_00_mma,,
$C1910_MAIN_0200_0610_00_mma,ACTOR,Cameraman
$C1910_MAIN_0200_0610_07_mma,,
$C1910_MAIN_0200_0610_07_mma,ACTOR,Reporter
$C1910_MAIN_0200_0620_00_mma,,The helicopter is taking off now.
$C1910_MAIN_0200_0620_00_mma,ACTOR,Reporter
$C1910_MAIN_0200_0630_00_skm,,
$C1910_MAIN_0200_0630_00_skm,ACTOR,Security Guard
$C1910_MAIN_0200_0640_00_mma,,It appears to be heading toward Sector 5.
$C1910_MAIN_0200_0640_00_mma,ACTOR,Reporter
$C1910_MAIN_0200_0640_05_skm,,
$C1910_MAIN_0200_0640_05_skm,ACTOR,Security Guard
$C1910_MAIN_0200_0640_08_mma,,
$C1910_MAIN_0200_0640_08_mma,ACTOR,Reporter
$C1910_MAIN_0200_0650_00_skm,,You! Enough already!
$C1910_MAIN_0200_0650_00_skm,ACTOR,Security Guard
$C1910_MAIN_0200_0650_05_mma,,
$C1910_MAIN_0200_0650_05_mma,ACTOR,Cameraman
$C1910_MAIN_0200_0660_00_mma,,
$C1910_MAIN_0200_0660_00_mma,ACTOR,Cameraman
$C1910_MAIN_0200_0660_11_zax,,
$C1910_MAIN_0200_0660_11_zax,ACTOR,Zack
$C1910_MAIN_0200_0660_14_zax,,
$C1910_MAIN_0200_0660_14_zax,ACTOR,Zack
$C1910_MAIN_0200_0660_16_kre,,
$C1910_MAIN_0200_0660_16_kre,ACTOR,Kyrie
$C1910_MAIN_0200_0660_17_zax,,
$C1910_MAIN_0200_0660_17_zax,ACTOR,Zack
$C1910_MAIN_0200_0660_20_zax,,
$C1910_MAIN_0200_0660_20_zax,ACTOR,Zack
$C1910_MAIN_0200_0660_23_kre,,
$C1910_MAIN_0200_0660_23_kre,ACTOR,Kyrie
$C1910_MAIN_0200_0700_00_zax,,Sorry.
$C1910_MAIN_0200_0700_00_zax,ACTOR,Zack
$C1910_MAIN_0200_0700_05_kre,,
$C1910_MAIN_0200_0700_05_kre,ACTOR,Kyrie
$C1910_MAIN_0200_0710_00_zax,,"I’ll be right back, so keep an eye on this guy."
$C1910_MAIN_0200_0710_00_zax,ACTOR,Zack
$C1910_MAIN_0200_0710_05_mma,,
$C1910_MAIN_0200_0710_05_mma,ACTOR,Slum Resident
$C1910_MAIN_0200_0710_07_mma,,
$C1910_MAIN_0200_0710_07_mma,ACTOR,Slum Resident
$C1910_MAIN_0200_0800_00_zax,,My buddy’s got mako poisoning.
$C1910_MAIN_0200_0800_00_zax,ACTOR,Zack
$C1910_MAIN_0200_0800_01_kre,,
$C1910_MAIN_0200_0800_01_kre,ACTOR,Kyrie
$C1910_MAIN_0200_0800_05_mfa,,
$C1910_MAIN_0200_0800_06_zax,,
$C1910_MAIN_0200_0800_06_zax,ACTOR,Zack
$C1910_MAIN_0200_0900_00_kre,,Hey!
$C1910_MAIN_0200_0900_00_kre,ACTOR,Kyrie
$C1910_MAIN_0200_0900_05_mma,,
$C1910_MAIN_0300_0000_05_zax,,
$C1910_MAIN_0300_0000_05_zax,ACTOR,Zack
$C1910_MAIN_0300_0000_11_zax,,
$C1910_MAIN_0300_0000_11_zax,ACTOR,Zack
$C1910_MAIN_0300_0100_00_zax,,Aerith!
$C1910_MAIN_0300_0100_00_zax,ACTOR,Zack
$C1910_MAIN_0300_0100_05_zax,,
$C1910_MAIN_0300_0100_05_zax,ACTOR,Zack
$C1910_MAIN_0300_0100_11_skm,,
$C1910_MAIN_0300_0100_13_skm,,
$C1910_MAIN_0300_0200_00_zax,,
$C1910_MAIN_0300_0200_00_zax,ACTOR,Zack
$C1910_MAIN_0310_0100_00_skm,,Emergency request! Confirmed crash landing of an Avalanche transport.
$C1910_MAIN_0310_0100_00_skm,ACTOR,Shinra Helicopter
$C1910_MAIN_0310_0200_00_skm,,"All nearby units, head to the scene immediately. Do not let the perpetrators escape!"
$C1910_MAIN_0310_0200_00_skm,ACTOR,Shinra Helicopter
$C1910_MAIN_0310_0300_00_skm,,"One of the Avalanche members, a former SOLDIER carrying the Buster Sword,"
$C1910_MAIN_0310_0300_00_skm,ACTOR,Shinra Helicopter
$C1910_MAIN_0310_0310_00_skm,,may be hiding near the crash site.
$C1910_MAIN_0310_0310_00_skm,ACTOR,Shinra Helicopter
$C1910_MAIN_0310_0320_00_skm,,Stay vigilant.
$C1910_MAIN_0310_0320_00_skm,ACTOR,Shinra Helicopter
$C1910_MAIN_0310_0400_00_skm,,Prepare for a counterattack from Avalanche and their collaborators!
$C1910_MAIN_0310_0400_00_skm,ACTOR,Shinra Helicopter
$C1910_MAIN_0310_0500_00_skm,,Repeat——
$C1910_MAIN_0310_0500_00_skm,ACTOR,Shinra Helicopter
$C1910_MAIN_0320_0100_00_zax,,
