id,sub_id,text
language,,US
$C1910_MAIN_8000_0100_00_cld,,My memory ends here. I don’t remember anything after that.
$C1910_MAIN_8000_0100_00_cld,ACTOR,Cloud
$C1910_MAIN_8000_0100_05_blt,,
$C1910_MAIN_8000_0100_05_blt,ACTOR,Barret
$C1910_MAIN_8000_0200_00_blt,,"Hey, hey, hey, hey, hey!"
$C1910_MAIN_8000_0200_00_blt,ACTOR,Barret
$C1910_MAIN_8000_0300_00_art,,"""Hero Sephiroth Missing During Training"""
$C1910_MAIN_8000_0300_00_art,ACTOR,Aerith
$C1910_MAIN_8000_0310_00_art,,"I watched that news with my mom, you know."
$C1910_MAIN_8000_0310_00_art,ACTOR,Aerith
$C1910_MAIN_8000_0400_00_art,,"And then a few days later, they announced, ""Actually, he died in battle"", right?"
$C1910_MAIN_8000_0400_00_art,ACTOR,Aerith
$C1910_MAIN_8000_0500_00_art,,"Yes, that’s right!"
$C1910_MAIN_8000_0500_00_art,ACTOR,Aerith
$C1910_MAIN_8000_0600_00_blt,,Shinra’s the one makin’ the news. Those bastards do whatever they want.
$C1910_MAIN_8000_0600_00_blt,ACTOR,Barret
$C1910_MAIN_8000_0700_00_blt,,You’d have to be crazy to believe ‘em!
$C1910_MAIN_8000_0700_00_blt,ACTOR,Barret
$C1910_MAIN_8000_0700_05_art,,Excuse me~...
$C1910_MAIN_8000_0700_05_art,ACTOR,Aerith
$C1910_MAIN_8000_0800_00_art,,"I believed it, though."
$C1910_MAIN_8000_0800_00_art,ACTOR,Aerith
$C1910_MAIN_8000_0900_00_blt,,Oh...right...
$C1910_MAIN_8000_0900_00_blt,ACTOR,Barret
$C1910_MAIN_8000_0910_00_blt,,"Anyway, Shinra’s to blame for everything."
$C1910_MAIN_8000_0910_00_blt,ACTOR,Barret
$C1910_MAIN_8000_1000_00_cld,,"Whatever the truth was five years ago, we fought Sephiroth in Midgar."
$C1910_MAIN_8000_1000_00_cld,ACTOR,Cloud
$C1910_MAIN_8000_1100_00_cld,,He’s alive.
$C1910_MAIN_8000_1100_00_cld,ACTOR,Cloud
$C1910_MAIN_8000_1200_00_art,,"""Alive,"" or more like, he <i>exists</i>...?"
$C1910_MAIN_8000_1200_00_art,ACTOR,Aerith
$C1910_MAIN_8000_1300_00_tif,,"Why’d he show up now, of all times?"
