id,sub_id,text
language,,US
$C2110_MAIN_3600_0100_00_blt,,"Hey, check it out!"
$C2110_MAIN_3600_0100_00_blt,ACTOR,Barret
$C2110_MAIN_3600_0100_05_mnt,,
$C2110_MAIN_3600_0100_05_mnt,ACTOR,Black-Cloaked Man
$C2110_MAIN_3600_0100_07_mnt,,
$C2110_MAIN_3600_0100_07_mnt,ACTOR,Black-Cloaked Man
$C2110_MAIN_3600_0100_09_mnt,,
$C2110_MAIN_3600_0100_09_mnt,ACTOR,Black-Cloaked Man
$C2110_MAIN_3600_0100_11_mnt,,
$C2110_MAIN_3600_0100_11_mnt,ACTOR,Black-Cloaked Man
$C2110_MAIN_3600_0200_00_cld,,What about Shinra?
$C2110_MAIN_3600_0200_00_cld,ACTOR,Cloud
$C2110_MAIN_3600_0200_05_art,,
$C2110_MAIN_3600_0200_05_art,ACTOR,Aerith
$C2110_MAIN_3600_0300_00_art,,Doesn’t look like they’re here.
$C2110_MAIN_3600_0300_00_art,ACTOR,Aerith
$C2110_MAIN_3600_0300_03_tif,,
$C2110_MAIN_3600_0300_03_tif,ACTOR,Tifa
$C2110_MAIN_3600_0300_05_tif,,
$C2110_MAIN_3600_0300_05_tif,ACTOR,Tifa
$C2110_MAIN_3600_0400_00_blt,,
$C2110_MAIN_3600_0400_00_blt,ACTOR,Barret
$C2110_MAIN_3600_0400_02_cld,,
$C2110_MAIN_3600_0400_02_cld,ACTOR,Cloud
$C2110_MAIN_3600_0400_03_art,,
$C2110_MAIN_3600_0400_03_art,ACTOR,Aerith
$C2110_MAIN_3600_0400_04_tif,,
$C2110_MAIN_3600_0400_04_tif,ACTOR,Tifa
$C2110_MAIN_3600_0400_06_blt,,
$C2110_MAIN_3600_0400_06_blt,ACTOR,Barret
$C2110_MAIN_3600_0400_09_mnt,,
$C2110_MAIN_3600_0400_09_mnt,ACTOR,Black-Cloaked Man
$C2110_MAIN_3600_0500_00_tif,,No way...
$C2110_MAIN_3600_0500_00_tif,ACTOR,Tifa
$C2110_MAIN_3600_0500_03_blt,,
$C2110_MAIN_3600_0500_03_blt,ACTOR,Barret
$C2110_MAIN_3600_0600_00_blt,,Makes me wanna cry.
$C2110_MAIN_3600_0600_00_blt,ACTOR,Barret
$C2110_MAIN_3600_0600_05_mnt,,
$C2110_MAIN_3600_0600_05_mnt,ACTOR,Black-Cloaked Man
$C2110_MAIN_3600_0600_07_mnt,,
$C2110_MAIN_3600_0600_07_mnt,ACTOR,Black-Cloaked Man
$C2110_MAIN_3600_0600_09_mnt,,
$C2110_MAIN_3600_0600_09_mnt,ACTOR,Black-Cloaked Man
$C2110_MAIN_3600_0610_00_art,,Are they heading over there?
$C2110_MAIN_3600_0610_00_art,ACTOR,Aerith
$C2110_MAIN_3600_0620_00_cld,,"That’s Junon, Shinra’s fortress city."
$C2110_MAIN_3600_0620_00_cld,ACTOR,Cloud
$C2110_MAIN_3600_0700_00_cld,,Let’s go.
$C2110_MAIN_3600_0700_00_cld,ACTOR,Cloud
$C2110_MAIN_3800_0100_00_tif,,I wonder where that bird from earlier came from?
$C2110_MAIN_3800_0100_00_tif,ACTOR,Tifa
$C2110_MAIN_3800_0200_00_red,,I heard a giant condor settled in an old mako reactor on a remote island.
$C2110_MAIN_3800_0200_00_red,ACTOR,Red XIII
$C2110_MAIN_3800_0300_00_red,,I’ve heard that story before. But there’s no way to get to that island.
$C2110_MAIN_3800_0300_00_red,ACTOR,Red XIII
$C2110_MAIN_3800_0400_00_blt,,"Serves Shinra right, huh!"
$C2110_MAIN_3800_0400_00_blt,ACTOR,Barret
$C2110_MAIN_3800_0500_00_tif,,"An island, huh...Guess there’s nothing we can do about it."
$C2110_MAIN_3800_0500_00_tif,ACTOR,Tifa
$C2110_MAIN_3800_0600_00_cld,,"Yeah, let’s head to Junon first."
$C2110_MAIN_3800_0600_00_cld,ACTOR,Cloud
$C2110_MAIN_3900_0100_00_art,,Is Junon up ahead?
$C2110_MAIN_3900_0100_00_art,ACTOR,Aerith
$C2110_MAIN_3900_0200_00_cld,,"No, there’s a small village beneath the fortress city."
$C2110_MAIN_3900_0200_00_cld,ACTOR,Cloud
$C2110_MAIN_3900_0300_00_red,,Under Junon. A rundown fishing village.
$C2110_MAIN_3900_0300_00_red,ACTOR,Red XIII
$C2110_MAIN_3900_0400_00_blt,,Shinra’s mess always trickles down. Same story everywhere.
$C2110_MAIN_3900_0400_00_blt,ACTOR,Barret
$C2110_MAIN_4000_0100_00_skm,,This area’s off-limits.
$C2110_MAIN_4000_0100_00_skm,ACTOR,Guard
$C2110_MAIN_4000_0200_00_skm,,"If you want a break, head to Under Junon."
$C2110_MAIN_4000_0200_00_skm,ACTOR,Guard
$C2110_MAIN_4000_0300_00_skm,,Civilians aren’t allowed here.
$C2110_MAIN_4000_0300_00_skm,ACTOR,Guard
$C2110_MAIN_4000_0400_00_skm,,"To get to Under Junon, follow the coast."
$C2110_MAIN_4000_0400_00_skm,ACTOR,Guard
$C2120_MAIN_0100_0100_00_ldn,,Hold on a sec.
$C2120_MAIN_0100_0100_00_ldn,ACTOR,???
$C2120_MAIN_0100_0200_00_blt,,
$C2120_MAIN_0100_0200_00_blt,ACTOR,Barret
$C2120_MAIN_0100_0300_00_ldn,,"Welcome to Under Junon, a village that never sees the sun."
$C2120_MAIN_0100_0300_00_ldn,ACTOR,???
$C2120_MAIN_0100_0310_00_ldn,,I’m Rhodna. Village chief and head of security.
$C2120_MAIN_0100_0310_00_ldn,ACTOR,Rhodna
$C2120_MAIN_0100_0310_01_ldn,,
$C2120_MAIN_0100_0310_01_ldn,ACTOR,Rhodna
$C2120_MAIN_0100_0310_02_blt,,
$C2120_MAIN_0100_0310_02_blt,ACTOR,Barret
$C2120_MAIN_0100_0310_03_ldn,,
$C2120_MAIN_0100_0310_03_ldn,ACTOR,Rhodna
$C2120_MAIN_0100_0310_04_ldn,,
$C2120_MAIN_0100_0310_04_ldn,ACTOR,Rhodna
$C2120_MAIN_0100_0310_05_tif,,
$C2120_MAIN_0100_0310_05_tif,ACTOR,Tifa
$C2120_MAIN_0100_0390_00_blt,,What’s that?
$C2120_MAIN_0100_0390_00_blt,ACTOR,Barret
$C2120_MAIN_0100_0400_00_ldn,,Avalanche?
$C2120_MAIN_0100_0400_00_ldn,ACTOR,Rhodna
$C2120_MAIN_0100_0400_05_tif,,
$C2120_MAIN_0100_0400_05_tif,ACTOR,Tifa
$C2120_MAIN_0100_0500_00_blt,,And if we are?
$C2120_MAIN_0100_0500_00_blt,ACTOR,Barret
$C2120_MAIN_0100_0600_00_ldn,,"Guess I’ll report you. If I’m right, that’s 100,000 gil."
$C2120_MAIN_0100_0600_00_ldn,ACTOR,Rhodna
$C2120_MAIN_0100_0600_05_blt,,
$C2120_MAIN_0100_0600_05_blt,ACTOR,Barret
$C2120_MAIN_0100_0700_00_blt,,"Sorry, but you’d better give it up."
$C2120_MAIN_0100_0700_00_blt,ACTOR,Barret
$C2120_MAIN_0100_0800_00_ldn,,
$C2120_MAIN_0100_0800_00_ldn,ACTOR,Rhodna
$C2120_MAIN_0100_0800_05_ldn,,
$C2120_MAIN_0100_0800_05_ldn,ACTOR,Rhodna
$C2120_MAIN_0100_0900_00_ldn,,"You’re Aerith, right? You’re worth 500,000 gil."
$C2120_MAIN_0100_0900_00_ldn,ACTOR,Rhodna
$C2120_MAIN_0100_1000_00_art,,"Whoa, that’s crazy!"
$C2120_MAIN_0100_1000_00_art,ACTOR,Aerith
$C2120_MAIN_0100_1000_05_ldn,,
$C2120_MAIN_0100_1000_05_ldn,ACTOR,Rhodna
$C2120_MAIN_0100_1100_00_ldn,,"But you know, I’m real good at looking the other way."
$C2120_MAIN_0100_1100_00_ldn,ACTOR,Rhodna
$C2120_MAIN_0100_1110_00_ldn,,I won’t report you.
$C2120_MAIN_0100_1110_00_ldn,ACTOR,Rhodna
$C2120_MAIN_0100_1110_05_blt,,
$C2120_MAIN_0100_1110_05_blt,ACTOR,Barret
$C2120_MAIN_0100_1200_00_blt,,"This ain’t a trap, is it?"
$C2120_MAIN_0100_1200_00_blt,ACTOR,Barret
$C2120_MAIN_0100_1300_00_ldn,,"Learn this village’s history, and you’ll see it’s not."
$C2120_MAIN_0100_1300_00_ldn,ACTOR,Rhodna
$C2120_MAIN_0100_1400_00_ldn,,"If you don’t like it, get out."
$C2120_MAIN_0100_1400_00_ldn,ACTOR,Rhodna
$C2120_MAIN_0100_1500_00_ldn,,The inn’s that way.
$C2120_MAIN_0100_1500_00_ldn,ACTOR,Rhodna
$C2120_MAIN_0100_1600_00_ldn,,It’s dead quiet there. Make yourselves at home.
$C2120_MAIN_0100_1600_00_ldn,ACTOR,Rhodna
$C2120_MAIN_0100_1700_00_cld,,Haven’t seen any guys in black cloaks around?
$C2120_MAIN_0100_1700_00_cld,ACTOR,Cloud
$C2120_MAIN_0100_1800_00_ldn,,"Nope, haven’t seen ‘em."
$C2120_MAIN_0100_1800_00_ldn,ACTOR,Rhodna
$C2120_MAIN_0100_1900_00_ldn,,"Some folks in black suits came through, though. Two guys and a woman."
$C2120_MAIN_0100_1900_00_ldn,ACTOR,Rhodna
$C2120_MAIN_0100_2000_00_blt,,"Oh, really?"
$C2120_MAIN_0100_2000_00_blt,ACTOR,Barret
$C2120_MAIN_0100_2100_00_ldn,,They went up on that elevator.
$C2120_MAIN_0100_2100_00_ldn,ACTOR,Rhodna
$C2120_MAIN_0100_2200_00_blt,,"Oh, really now!"
$C2120_MAIN_0100_2200_00_blt,ACTOR,Barret
$C2120_MAIN_0100_2300_00_ldn,,What’s on your mind?
$C2120_MAIN_0100_2300_00_ldn,ACTOR,Rhodna
$C2120_MAIN_0100_2400_00_ldn,,"You probably know this, but up there’s Junon, Shinra’s fortress city."
$C2120_MAIN_0100_2400_00_ldn,ACTOR,Rhodna
$C2120_MAIN_0100_2500_00_ldn,,That elevator’s for Shinra personnel only.
$C2120_MAIN_0100_2500_00_ldn,ACTOR,Rhodna
$C2120_MAIN_0100_2600_00_ldn,,"Something’s going on up there, and security’s tight. The Soldiers are on edge."
$C2120_MAIN_0100_2600_00_ldn,ACTOR,Rhodna
$C2120_MAIN_0100_2700_00_ldn,,"If you pull something and drag this village into it, I won’t forgive you."
$C2120_MAIN_0100_2700_00_ldn,ACTOR,Rhodna
$C2120_MAIN_0200_0100_00_ldn,,Don’t cause any trouble.
$C2120_MAIN_0200_0100_00_ldn,ACTOR,Rhodna
$C2120_MAIN_0200_0200_00_ldn,,"I won’t report you, so relax."
$C2120_MAIN_0200_0200_00_ldn,ACTOR,Rhodna
$C2120_MAIN_0200_0300_00_ldn,,"What, don’t trust me?"
$C2120_MAIN_0200_0300_00_ldn,ACTOR,Rhodna
$C2120_MAIN_0300_0100_00_blt,,"So, what’s the plan? Looks like the black cloaks didn’t come here."
$C2120_MAIN_0300_0100_00_blt,ACTOR,Barret
$C2120_MAIN_0300_0200_00_red,,"Wherever they’re headed,"
$C2120_MAIN_0300_0200_00_red,ACTOR,Red XIII
