id,sub_id,text
language,,US
$C3310_MAIN_0300_0100_00_eln,,"Alright, repeat after me!"
$C3310_MAIN_0300_0100_00_eln,ACTOR,Elena
$C3310_MAIN_0300_0105_00_skm,," <i>Area 7, 205, 246</i> "
$C3310_MAIN_0300_0105_00_skm,ACTOR,<i>Radio</i>
$C3310_MAIN_0300_0110_00_eln,,"Oh, right, right! ""The Northern Continent!"""
$C3310_MAIN_0300_0110_00_eln,ACTOR,Elena
$C3310_MAIN_0300_0120_00_skm,, <i>Roger that</i> 
$C3310_MAIN_0300_0120_00_skm,ACTOR,<i>Radio</i>
$C3310_MAIN_0300_0200_00_eln,,"All units, I’ve shared the temple coordinates!"
$C3310_MAIN_0300_0200_00_eln,ACTOR,Elena
$C3310_MAIN_0300_0200_03_lud,,
$C3310_MAIN_0300_0200_03_lud,ACTOR,Rude
$C3310_MAIN_0300_0200_05_eln,,
$C3310_MAIN_0300_0200_05_eln,ACTOR,Elena
$C3310_MAIN_0300_0300_00_eln,,"Uh...I did some digging, and..."
$C3310_MAIN_0300_0300_00_eln,ACTOR,Elena
$C3310_MAIN_0300_0310_00_eln,,"This ""Keystone curse"" thing? It’s got some serious credibility!"
$C3310_MAIN_0300_0310_00_eln,ACTOR,Elena
$C3310_MAIN_0300_0400_00_eln,,Anyone who uses it ends up dead!
$C3310_MAIN_0300_0400_00_eln,ACTOR,Elena
$C3310_MAIN_0300_0500_00_lud,,Wrong.
$C3310_MAIN_0300_0500_00_lud,ACTOR,Rude
$C3310_MAIN_0300_0600_00_lud,,"The records say, ""No one who used the Keystone to enter the temple ever came back out."""
$C3310_MAIN_0300_0600_00_lud,ACTOR,Rude
$C3310_MAIN_0300_0700_00_eln,,That’s the same thing!
$C3310_MAIN_0300_0700_00_eln,ACTOR,Elena
$C3310_MAIN_0300_0710_00_eln,,"And yet, the President’s sending everyone in anyway!"
$C3310_MAIN_0300_0710_00_eln,ACTOR,Elena
$C3310_MAIN_0300_0800_00_eln,,Isn’t that awful?
$C3310_MAIN_0300_0800_00_eln,ACTOR,Elena
$C3310_MAIN_0300_0900_00_lud,,"The President’s going too, I hear."
$C3310_MAIN_0300_0900_00_lud,ACTOR,Rude
$C3310_MAIN_0300_1000_00_eln,,What kinda nerve...!
$C3310_MAIN_0300_1000_00_eln,ACTOR,Elena
$C3310_MAIN_0300_1100_00_ren,,"That’s our boss for ya, huh!"
$C3310_MAIN_0300_1100_00_ren,ACTOR,Reno
$C3310_MAIN_0300_1200_00_eln,,"Impressive my foot—it’s reckless! Not that I hate it, though."
$C3310_MAIN_0300_1200_00_eln,ACTOR,Elena
