id,sub_id,text
language,,US
$C2410_MAIN_0100_0000_10_yfi,,CORLE_0
$C2410_MAIN_0100_0000_10_yfi,ACTOR,Yuffie
$C2410_MAIN_0100_0000_11_yfi,,CORLE_1
$C2410_MAIN_0100_0000_11_yfi,ACTOR,Yuffie
$C2410_MAIN_0100_0100_00_yfi,,See ya later~!
$C2410_MAIN_0100_0100_00_yfi,ACTOR,Yuffie
$C2410_MAIN_0100_0100_07_yfi,,CORLE_3
$C2410_MAIN_0100_0100_07_yfi,ACTOR,Yuffie
$C2410_MAIN_0100_0100_08_yfi,,CORLE_4
$C2410_MAIN_0100_0100_08_yfi,ACTOR,Yuffie
$C2410_MAIN_0100_0100_09_snk,,CORLE_5
$C2410_MAIN_0100_0100_09_snk,ACTOR,Shinra Middle Manager
$C2410_MAIN_0100_0100_10_yfi,,CORLE_6
$C2410_MAIN_0100_0100_10_yfi,ACTOR,Yuffie
$C2410_MAIN_0100_0100_11_blt,,CORLE_7
$C2410_MAIN_0100_0100_11_blt,ACTOR,Barret
$C2410_MAIN_0100_0100_13_yfi,,CORLE_8
$C2410_MAIN_0100_0100_13_yfi,ACTOR,Yuffie
$C2410_MAIN_0100_0200_00_blt,,I ain’t got no use for a flashy place like this! Let’s get outta here quick!
$C2410_MAIN_0100_0200_00_blt,ACTOR,Barret
$C2410_MAIN_0100_0300_00_cld,,Once those guys start movin’.
$C2410_MAIN_0100_0300_00_cld,ACTOR,Cloud
$C2410_MAIN_0100_0300_08_art,,CORLE_11
$C2410_MAIN_0100_0300_08_art,ACTOR,Aerith
$C2410_MAIN_0100_0400_00_art,,Hey!
$C2410_MAIN_0100_0400_00_art,ACTOR,Aerith
$C2410_MAIN_0100_0400_07_tif,,CORLE_13
$C2410_MAIN_0100_0400_07_tif,ACTOR,Tifa
$C2410_MAIN_0100_0400_09_blt,,CORLE_14
$C2410_MAIN_0100_0400_09_blt,ACTOR,Barret
$C2410_MAIN_0100_0410_00_art,,How about a little sightseeing?
$C2410_MAIN_0100_0410_00_art,ACTOR,Aerith
$C2410_MAIN_0100_0500_00_art,,"I mean, it’s Costa del Sol! Costa~ del~ Sol~!"
$C2410_MAIN_0100_0500_00_art,ACTOR,Aerith
$C2410_MAIN_0100_0500_05_blt,,CORLE_17
$C2410_MAIN_0100_0500_05_blt,ACTOR,Barret
$C2410_MAIN_0100_0600_00_red,,Can’t we cool off somewhere?
$C2410_MAIN_0100_0600_00_red,ACTOR,Red XIII
$C2410_MAIN_0100_0610_00_red,,This heat’s unbearable.
$C2410_MAIN_0100_0610_00_red,ACTOR,Red XIII
$C2410_MAIN_0100_0700_00_blt,,"Quit whining, Furball!"
$C2410_MAIN_0100_0700_00_blt,ACTOR,Barret
$C2410_MAIN_0100_0700_03_art,,CORLE_21
$C2410_MAIN_0100_0700_03_art,ACTOR,Aerith
$C2410_MAIN_0100_0700_05_nem,,CORLE_22
$C2410_MAIN_0100_0700_05_nem,ACTOR,Hospitality Girls
$C2410_MAIN_0100_0700_06_frn,,CORLE_23
$C2410_MAIN_0100_0700_06_frn,ACTOR,Hospitality Girls
$C2410_MAIN_0100_0700_07_yld,,CORLE_24
$C2410_MAIN_0100_0700_07_yld,ACTOR,Hospitality Girls
$C2410_MAIN_0100_0700_08_blt,,CORLE_25
$C2410_MAIN_0100_0700_08_blt,ACTOR,Barret
$C2410_MAIN_0100_0700_11_tif,,CORLE_26
$C2410_MAIN_0100_0700_11_tif,ACTOR,Tifa
$C2410_MAIN_0100_0700_13_nem,,Costa~!
$C2410_MAIN_0100_0700_13_nem,ACTOR,Hospitality Girls
$C2410_MAIN_0100_0800_00_kpn,,"We~lcome to Costa del Sol! I’m Kapono, the mayor."
$C2410_MAIN_0100_0800_00_kpn,ACTOR,Mayor Kapono
$C2410_MAIN_0100_0800_05_kpn,,Now...
$C2410_MAIN_0100_0800_05_kpn,ACTOR,Mayor Kapono
$C2410_MAIN_0100_0800_07_frn,,"Pleaese, take it."
$C2410_MAIN_0100_0800_07_frn,ACTOR,Hospitality Girls
$C2410_MAIN_0100_0800_09_yld,,Here.
$C2410_MAIN_0100_0800_09_yld,ACTOR,Hospitality Girls
$C2410_MAIN_0100_0900_00_kpn,,Here’s a little gift for you.
$C2410_MAIN_0100_0900_00_kpn,ACTOR,Mayor Kapono
$C2410_MAIN_0100_0900_05_frn,,CORLE_33
$C2410_MAIN_0100_0900_05_frn,ACTOR,Hospitality Girls
$C2410_MAIN_0100_1000_00_kpn,,"Without this, your Costa vacation can’t even begin!"
$C2410_MAIN_0100_1000_00_kpn,ACTOR,Mayor Kapono
