id,sub_id,text
language,,US
$C2610_MAIN_0100_0480_05_yfi,,GOLDE_0
$C2610_MAIN_0100_0480_05_yfi,ACTOR,Yuffie
$C2610_MAIN_0100_0480_07_art,,GOLDE_1
$C2610_MAIN_0100_0480_07_art,ACTOR,Aerith
$C2610_MAIN_0100_0500_00_yfi,,"Hey, look, look! Something’s coming our way~!"
$C2610_MAIN_0100_0500_00_yfi,ACTOR,Yuffie
$C2610_MAIN_0100_0500_02_art,,GOLDE_3
$C2610_MAIN_0100_0500_02_art,ACTOR,Aerith
$C2610_MAIN_0100_0500_04_tif,,GOLDE_4
$C2610_MAIN_0100_0500_04_tif,ACTOR,Tifa
$C2610_MAIN_0100_0500_07_yfi,,GOLDE_5
$C2610_MAIN_0100_0500_07_yfi,ACTOR,Yuffie
$C2610_MAIN_0100_0500_08_art,,GOLDE_6
$C2610_MAIN_0100_0500_08_art,ACTOR,Aerith
$C2610_MAIN_0100_0500_09_tif,,GOLDE_7
$C2610_MAIN_0100_0500_09_tif,ACTOR,Tifa
$C2610_MAIN_0100_0500_11_yfi,,GOLDE_8
$C2610_MAIN_0100_0500_11_yfi,ACTOR,Yuffie
$C2610_MAIN_0100_0500_15_yfi,,GOLDE_9
$C2610_MAIN_0100_0500_15_yfi,ACTOR,Yuffie
$C2610_MAIN_0100_0500_19_yfi,,GOLDE_10
$C2610_MAIN_0100_0500_19_yfi,ACTOR,Yuffie
$C2610_MAIN_0100_0500_21_art,,GOLDE_11
$C2610_MAIN_0100_0500_21_art,ACTOR,Aerith
$C2610_MAIN_0100_0600_00_art,,They’re more than welcome!
$C2610_MAIN_0100_0600_00_art,ACTOR,Aerith
$C2610_MAIN_0100_0600_03_art,,GOLDE_13
$C2610_MAIN_0100_0600_03_art,ACTOR,Aerith
$C2610_MAIN_0100_0600_06_tif,,GOLDE_14
$C2610_MAIN_0100_0600_06_tif,ACTOR,Tifa
$C2610_MAIN_0100_0600_10_red,,GOLDE_15
$C2610_MAIN_0100_0600_10_red,ACTOR,Red XIII
$C2610_MAIN_0100_0600_15_yfi,,GOLDE_16
$C2610_MAIN_0100_0600_15_yfi,ACTOR,Yuffie
$C2610_MAIN_0200_0000_02_yfi,,GOLDE_17
$C2610_MAIN_0200_0000_02_yfi,ACTOR,Yuffie
$C2610_MAIN_0200_0000_03_art,,GOLDE_18
$C2610_MAIN_0200_0000_03_art,ACTOR,Aerith
$C2610_MAIN_0200_0000_04_tif,,GOLDE_19
$C2610_MAIN_0200_0000_04_tif,ACTOR,Tifa
$C2610_MAIN_0200_0000_05_yfi,,GOLDE_20
$C2610_MAIN_0200_0000_05_yfi,ACTOR,Yuffie
$C2610_MAIN_0200_0000_07_art,,GOLDE_21
$C2610_MAIN_0200_0000_07_art,ACTOR,Aerith
$C2610_MAIN_0200_0000_10_tif,,GOLDE_22
$C2610_MAIN_0200_0000_10_tif,ACTOR,Tifa
$C2610_MAIN_0200_0100_00_yfi,,"Hurry, hurry!"
$C2610_MAIN_0200_0100_00_yfi,ACTOR,Yuffie
$C2610_MAIN_0200_0200_00_art,,Let’s go!
$C2610_MAIN_0200_0200_00_art,ACTOR,Aerith
$C2610_MAIN_0200_0300_00_tif,,GOLDE_25
$C2610_MAIN_0200_0300_00_tif,ACTOR,Tifa
$C2610_MAIN_0200_0300_02_yfi,,GOLDE_26
$C2610_MAIN_0200_0300_02_yfi,ACTOR,Yuffie
$C2610_MAIN_0200_0300_04_art,,GOLDE_27
$C2610_MAIN_0200_0300_04_art,ACTOR,Aerith
$C2610_MAIN_0200_0300_05_tif,,GOLDE_28
$C2610_MAIN_0200_0300_05_tif,ACTOR,Tifa
$C2610_MAIN_0200_0300_06_blt,,GOLDE_29
$C2610_MAIN_0200_0300_06_blt,ACTOR,Barret
$C2610_MAIN_0200_0300_07_cld,,GOLDE_30
$C2610_MAIN_0200_0300_07_cld,ACTOR,Cloud
$C2610_MAIN_0300_0050_07_art,,GOLDE_31
$C2610_MAIN_0300_0050_07_art,ACTOR,Aerith
$C2610_MAIN_0300_0050_09_yfi,,GOLDE_32
$C2610_MAIN_0300_0050_09_yfi,ACTOR,Yuffie
$C2610_MAIN_0300_0050_10_mma,,GOLDE_33
$C2610_MAIN_0300_0050_11_art,,GOLDE_34
$C2610_MAIN_0300_0050_11_art,ACTOR,Aerith
$C2610_MAIN_0300_0100_00_tif,,"Excuse me, coming through!"
$C2610_MAIN_0300_0100_00_tif,ACTOR,Tifa
$C2610_MAIN_0300_0100_02_mma,,GOLDE_36
$C2610_MAIN_0300_0100_03_mma,,GOLDE_37
$C2610_MAIN_0300_0100_04_art,,GOLDE_38
$C2610_MAIN_0300_0100_04_art,ACTOR,Aerith
$C2610_MAIN_0300_0100_07_yfi,,GOLDE_39
$C2610_MAIN_0300_0100_07_yfi,ACTOR,Yuffie
$C2610_MAIN_0300_0100_09_art,,GOLDE_40
$C2610_MAIN_0300_0100_09_art,ACTOR,Aerith
$C2610_MAIN_0300_0100_11_tif,,GOLDE_41
$C2610_MAIN_0300_0100_11_tif,ACTOR,Tifa
$C2610_MAIN_0300_0200_00_cat,,"Alright, everyone~! Let’s do this together~!"
$C2610_MAIN_0300_0200_00_cat,ACTOR,???
$C2610_MAIN_0300_0300_00_cat,,Dance or it’s a big ol’ loss!
$C2610_MAIN_0300_0300_00_cat,ACTOR,???
$C2610_MAIN_0300_0300_05_yfi,,GOLDE_44
$C2610_MAIN_0300_0300_05_yfi,ACTOR,Yuffie
$C2610_MAIN_0300_0300_09_yfi,,GOLDE_45
$C2610_MAIN_0300_0300_09_yfi,ACTOR,Yuffie
$C2610_MAIN_0300_0300_10_art,,GOLDE_46
$C2610_MAIN_0300_0300_10_art,ACTOR,Aerith
$C2610_MAIN_0300_0300_11_blt,,GOLDE_47
$C2610_MAIN_0300_0300_11_blt,ACTOR,Barret
$C2610_MAIN_0300_0300_12_mfa,,GOLDE_48
$C2610_MAIN_0300_0300_13_yfi,,GOLDE_49
