id,sub_id,text
language,,US
$C2710_MAIN_0100_0100_00_riv,,GONGE_0
$C2710_MAIN_0100_0100_00_riv,ACTOR,Reeve
$C2710_MAIN_0100_0200_00_riv,,Looks good to me.
$C2710_MAIN_0100_0200_00_riv,ACTOR,Reeve
$C2710_MAIN_0100_0300_00_mfa,,"Director, did something good happen?"
$C2710_MAIN_0100_0300_00_mfa,ACTOR,Secretary
$C2710_MAIN_0100_0400_00_riv,,"Yeah, I got some solid work done."
$C2710_MAIN_0100_0400_00_riv,ACTOR,Reeve
$C2710_MAIN_0100_0400_05_mfa,,GONGE_4
$C2710_MAIN_0100_0400_05_mfa,ACTOR,Secretary
$C2710_MAIN_0100_0400_07_mfa,,GONGE_5
$C2710_MAIN_0100_0400_07_mfa,ACTOR,Secretary
$C2710_MAIN_0100_0500_00_tsu,,Keep the fun in moderation.
$C2710_MAIN_0100_0500_00_tsu,ACTOR,Tseng
$C2710_MAIN_0100_0500_05_riv,,GONGE_7
$C2710_MAIN_0100_0500_05_riv,ACTOR,Reeve
$C2710_MAIN_0100_0600_00_tsu,,GONGE_8
$C2710_MAIN_0100_0600_00_tsu,ACTOR,Tseng
$C2710_MAIN_0200_0100_00_tsu,,You called for me?
$C2710_MAIN_0200_0100_00_tsu,ACTOR,Tseng
$C2710_MAIN_0200_0200_00_ruf,,Is the Ancient safe?
$C2710_MAIN_0200_0200_00_ruf,ACTOR,Rufus
$C2710_MAIN_0200_0300_00_tsu,,We’re keeping her under surveillance.
$C2710_MAIN_0200_0300_00_tsu,ACTOR,Tseng
$C2710_MAIN_0200_0400_00_ruf,,Any signs she’s heading to the Promised Land?
$C2710_MAIN_0200_0400_00_ruf,ACTOR,Rufus
$C2710_MAIN_0200_0500_00_tsu,,Not at the moment.
$C2710_MAIN_0200_0500_00_tsu,ACTOR,Tseng
$C2710_MAIN_0200_0600_00_ruf,,I see.
$C2710_MAIN_0200_0600_00_ruf,ACTOR,Rufus
$C2710_MAIN_0200_0600_05_tsu,,GONGE_15
$C2710_MAIN_0200_0600_05_tsu,ACTOR,Tseng
$C2710_MAIN_0200_0700_00_tsu,,Are you more concerned about that than the Huge Materia?
$C2710_MAIN_0200_0700_00_tsu,ACTOR,Tseng
$C2710_MAIN_0200_0700_05_ruf,,GONGE_17
$C2710_MAIN_0200_0700_05_ruf,ACTOR,Rufus
$C2710_MAIN_0200_0800_00_ruf,,It’s been a dream of mine since I was a kid.
$C2710_MAIN_0200_0800_00_ruf,ACTOR,Rufus
$C2710_MAIN_0200_0810_00_ruf,,I absolutely have to see it with my own eyes.
$C2710_MAIN_0200_0810_00_ruf,ACTOR,Rufus
$C2710_MAIN_0200_0900_00_tsu,,Then we’ll tighten surveillance.
$C2710_MAIN_0200_0900_00_tsu,ACTOR,Tseng
$C2710_MAIN_0200_0900_05_ruf,,GONGE_21
$C2710_MAIN_0200_0900_05_ruf,ACTOR,Rufus
$C2710_MAIN_0200_1000_00_rgs,,"Dreams, huh? That’s kinda cute."
$C2710_MAIN_0200_1000_00_rgs,ACTOR,Glenn
$C2710_MAIN_0200_1000_03_ruf,,GONGE_23
