id,sub_id,text
language,,US
$C2910_MAIN_0200_0100_00_yfi,,"Ugh, no good..."
$C2910_MAIN_0200_0100_00_yfi,ACTOR,Yuffie
$C2910_MAIN_0200_0200_00_cid,,What’s wrong?
$C2910_MAIN_0200_0200_00_cid,ACTOR,Cid
$C2910_MAIN_0200_0300_00_yfi,,I thought the plane was gonna be fine...
$C2910_MAIN_0200_0300_00_yfi,ACTOR,Yuffie
$C2910_MAIN_0200_0400_00_cid,,"Hey, if you’re gonna puke, do it outside!"
$C2910_MAIN_0200_0400_00_cid,ACTOR,Cid
$C2910_MAIN_0200_0500_00_yfi,,Urghh~
$C2910_MAIN_0200_0500_00_yfi,ACTOR,Yuffie
$C2910_MAIN_0300_0100_00_blt,,"Yo, Cid!"
$C2910_MAIN_0300_0100_00_blt,ACTOR,Barret
$C2910_MAIN_0300_0200_00_cid,,What’s up?
$C2910_MAIN_0300_0200_00_cid,ACTOR,Cid
$C2910_MAIN_0300_0300_00_blt,,Flying around like this—what if Shinra shows up?
$C2910_MAIN_0300_0300_00_blt,ACTOR,Barret
$C2910_MAIN_0300_0400_00_cid,,The sky don’t belong to nobody. Shinra can eat shit for all I care!
$C2910_MAIN_0300_0400_00_cid,ACTOR,Cid
$C2910_MAIN_0300_0500_00_blt,,"Hahahaha! Man, I like you! That’s the spirit!"
$C2910_MAIN_0300_0500_00_blt,ACTOR,Barret
$C2910_MAIN_0400_0100_00_red,,Looks like we’re getting pretty close.
$C2910_MAIN_0400_0100_00_red,ACTOR,Red XIII
$C2910_MAIN_0400_0200_00_cid,,"Yeah, time to land soon."
$C2910_MAIN_0400_0200_00_cid,ACTOR,Cid
$C2910_MAIN_0500_0049_05_cid,,COSME_12
$C2910_MAIN_0500_0049_05_cid,ACTOR,Cid
$C2910_MAIN_0500_0050_00_cid,,Alright—touchdown!
$C2910_MAIN_0500_0050_00_cid,ACTOR,Cid
$C2910_MAIN_0500_0050_09_yfi,,COSME_14
$C2910_MAIN_0500_0050_09_yfi,ACTOR,Yuffie
$C2910_MAIN_0500_0050_15_yfi,,COSME_15
$C2910_MAIN_0500_0050_15_yfi,ACTOR,Yuffie
$C2910_MAIN_0500_0050_19_cid,,COSME_16
$C2910_MAIN_0500_0050_19_cid,ACTOR,Cid
$C2910_MAIN_0500_0100_00_cid,,This is as far as I can guide ya.
$C2910_MAIN_0500_0100_00_cid,ACTOR,Cid
$C2910_MAIN_0500_0110_00_cid,,"Can’t get any closer than this, so just hoof it from here!"
$C2910_MAIN_0500_0110_00_cid,ACTOR,Cid
$C2910_MAIN_0500_0200_00_blt,,What do we do next time we need a ride?
$C2910_MAIN_0500_0200_00_blt,ACTOR,Barret
$C2910_MAIN_0500_0200_05_cid,,COSME_20
$C2910_MAIN_0500_0200_05_cid,ACTOR,Cid
$C2910_MAIN_0500_0300_00_cid,,Send up a smoke signal.
$C2910_MAIN_0500_0300_00_cid,ACTOR,Cid
$C2910_MAIN_0500_0310_00_cid,,"If there’s a runway, I’ll do my damnedest."
$C2910_MAIN_0500_0310_00_cid,ACTOR,Cid
$C2910_MAIN_0500_0400_00_cid,,Thanks for flying with us~!
$C2910_MAIN_0500_0400_00_cid,ACTOR,Cid
$C2910_MAIN_0500_0400_05_cid,,COSME_24
$C2910_MAIN_0500_0400_05_cid,ACTOR,Cid
$C2910_MAIN_0500_0500_00_red,,I’ll guide you to the valley.
$C2910_MAIN_0500_0500_00_red,ACTOR,Red XIII
$C2910_MAIN_0600_0100_00_red,,"That’s Cosmo Canyon—my beautiful, noble hometown."
$C2910_MAIN_0600_0100_00_red,ACTOR,Red XIII
$C2910_MAIN_0600_0200_00_blt,,Whoa~ The holy land of planetology’s callin’ me!
$C2910_MAIN_0600_0200_00_blt,ACTOR,Barret
$C2910_MAIN_0600_0300_00_art,,This is gonna be fun!
$C2910_MAIN_0600_0300_00_art,ACTOR,Aerith
$C2910_MAIN_0700_0100_00_cat,,"So, I hate to bring this up again, but..."
$C2910_MAIN_0700_0100_00_cat,ACTOR,Cait Sith
$C2910_MAIN_0700_0200_00_cat,,"Y’all keep goin’ on about Sephiroth bein’ the enemy and all that jazz, right?"
$C2910_MAIN_0700_0200_00_cat,ACTOR,Cait Sith
$C2910_MAIN_0700_0400_00_cat,,Assumin’ what y’all say is true—that the great hero ain’t dead—
$C2910_MAIN_0700_0400_00_cat,ACTOR,Cait Sith
$C2910_MAIN_0700_0410_00_cat,,What’s that guy up to these days?
$C2910_MAIN_0700_0410_00_cat,ACTOR,Cait Sith
$C2910_MAIN_0700_0500_00_cld,,Seems he’s trying to protect the planet.
$C2910_MAIN_0700_0500_00_cld,ACTOR,Cloud
$C2910_MAIN_0700_0600_00_cat,,Huh? Sounds like a decent fella to me!
$C2910_MAIN_0700_0600_00_cat,ACTOR,Cait Sith
$C2910_MAIN_0700_0700_00_cld,,"If it’s to save the planet, he doesn’t care what happens to people. That’s his way."
$C2910_MAIN_0700_0700_00_cld,ACTOR,Cloud
$C2910_MAIN_0700_0800_00_cat,,"Well, that’s mighty extreme~ Cities need people, and so does the planet!"
$C2910_MAIN_0700_0800_00_cat,ACTOR,Cait Sith
$C2910_MAIN_0700_0900_00_blt,,I’ll bring somethin’ up too—there’s another enemy out there!
$C2910_MAIN_0700_0900_00_blt,ACTOR,Barret
$C2910_MAIN_0700_1000_00_blt,,"Not only do they keep gettin’ in our way, but they’re still suckin’ energy outta the planet—the Shinra Company!"
$C2910_MAIN_0700_1000_00_blt,ACTOR,Barret
$C2910_MAIN_0700_1100_00_cat,,Eep!
$C2910_MAIN_0700_1100_00_cat,ACTOR,Cait Sith
$C2910_MAIN_0700_1200_00_blt,,"We’ll use your connections to the max, but if you double-cross us..."
$C2910_MAIN_0700_1200_00_blt,ACTOR,Barret
$C2910_MAIN_0700_1300_00_blt,,It’s the cat-punishment treatment! I don’t let shit slide!
$C2910_MAIN_0700_1300_00_blt,ACTOR,Barret
$C2910_MAIN_0700_1400_00_cat,,Scary~!
$C2910_MAIN_0700_1400_00_cat,ACTOR,Cait Sith
$C2910_MAIN_0800_0100_00_red,,COSME_43
$C2910_MAIN_0800_0100_00_red,ACTOR,Red XIII
$C2910_MAIN_0800_0300_00_red,,I’m back~! Nanaki’s home~!
$C2910_MAIN_0800_0300_00_red,ACTOR,Red XIII
$C2910_MAIN_0800_0390_00_mma,,Nanaki!
$C2910_MAIN_0800_0390_00_mma,ACTOR,Lookout
$C2910_MAIN_0800_0400_00_mma,,"Welcome back, Nanaki!"
$C2910_MAIN_0800_0400_00_mma,ACTOR,Lookout
$C2910_MAIN_0800_0500_00_red,,COSME_47
$C2910_MAIN_0800_0500_00_red,ACTOR,Red XIII
$C2910_MAIN_0800_0600_00_mma,,Good to see you safe. Really good!
$C2910_MAIN_0800_0600_00_mma,ACTOR,Lookout
$C2910_MAIN_0800_0700_00_blt,,COSME_49
$C2910_MAIN_0800_0700_00_blt,ACTOR,Barret
$C2910_MAIN_0800_0800_00_mma,,"Now, go say hi to Elder Bugenhagen!"
$C2910_MAIN_0800_0800_00_mma,ACTOR,Lookout
$C2910_MAIN_0800_0800_05_mma,,COSME_51
$C2910_MAIN_0800_0800_05_mma,ACTOR,Lookout
$C2910_MAIN_0800_0800_08_mma,,COSME_52
$C2910_MAIN_0800_0800_08_mma,ACTOR,Lookout
$C2910_MAIN_0800_0900_00_red,,These folks helped me out a little.
$C2910_MAIN_0800_0900_00_red,ACTOR,Red XIII
$C2910_MAIN_0800_1000_00_red,,"They’re not bad people, so let ‘em in!"
$C2910_MAIN_0800_1000_00_red,ACTOR,Red XIII
$C2910_MAIN_0800_1100_00_blt,,What was that just now?
$C2910_MAIN_0800_1100_00_blt,ACTOR,Barret
$C2910_MAIN_0800_1100_05_art,,COSME_56
$C2910_MAIN_0800_1100_05_art,ACTOR,Aerith
$C2910_MAIN_0800_1110_00_blt,,"""Nanaki’s home~!"" he says!"
$C2910_MAIN_0800_1110_00_blt,ACTOR,Barret
$C2910_MAIN_0800_1200_00_art,,"So cute, right?"
$C2910_MAIN_0800_1200_00_art,ACTOR,Aerith
