id,sub_id,text
language,,US
$C1910_MAIN_0600_0100_00_blt,,"<i>Alright then, let’s hear it. Your beef with Sephiroth—what’s the deal?</i>"
$C1910_MAIN_0600_0100_00_blt,ACTOR,<i>Barret</i>
$C1910_MAIN_0600_0200_00_cld,,"<i>Tifa, I’m gonna tell it all.</i>"
$C1910_MAIN_0600_0200_00_cld,ACTOR,<i>Cloud</i>
$C1910_MAIN_0600_0300_00_tif,,"<i>Yeah, I’m okay.</i>"
$C1910_MAIN_0600_0300_00_tif,ACTOR,<i>Tifa</i>
$C1910_MAIN_0600_0400_00_cld,,"<i>Five years ago, I was 16.</i>"
$C1910_MAIN_0600_0400_00_cld,ACTOR,<i>Cloud</i>
$C1910_MAIN_0600_0500_00_cld,,"<i>SOLDIER didn’t have much action back then. Even when there was work, it was mostly stuff I didn’t care about.</i>"
$C1910_MAIN_0600_0500_00_cld,ACTOR,<i>Cloud</i>
$C1910_MAIN_0600_0600_00_cld,,"<i>Then, an order came down.</i>"
$C1910_MAIN_0600_0600_00_cld,ACTOR,<i>Cloud</i>
$C1910_MAIN_0600_0700_00_cld,,"<i>The hero, Sephiroth, was with us...</i>"
$C1910_MAIN_0600_0700_00_cld,ACTOR,<i>Cloud</i>
$C1910_MAIN_0600_0710_00_cld,,<i>I was pretty excited.</i>
$C1910_MAIN_0600_0710_00_cld,ACTOR,<i>Cloud</i>
$C1910_MAIN_0600_0800_sep,,"Hurry up, Cloud."
$C1910_MAIN_0600_0800_sep,ACTOR,Sephiroth
$C1910_MAIN_0700_0100_00_cld,,"Pretty crazy rain, huh?"
$C1910_MAIN_0700_0100_00_cld,ACTOR,Cloud
$C1910_MAIN_0700_0100_05_cld,,NIBLE_10
$C1910_MAIN_0700_0100_05_cld,ACTOR,Security Officer
$C1910_MAIN_0700_0200_00_cld,,"Hey, how you holding up?"
$C1910_MAIN_0700_0200_00_cld,ACTOR,Cloud
$C1910_MAIN_0700_0300_00_cld,,I’m fine.
$C1910_MAIN_0700_0300_00_cld,ACTOR,Security Officer
$C1910_MAIN_0700_0300_05_cld,,NIBLE_13
$C1910_MAIN_0700_0300_05_cld,ACTOR,Security Officer
$C1910_MAIN_0700_0400_00_cld,,You look rough.
$C1910_MAIN_0700_0400_00_cld,ACTOR,Cloud
$C1910_MAIN_0700_0500_00_cld,,"I’ve never gotten motion sickness before, so I wouldn’t know."
$C1910_MAIN_0700_0500_00_cld,ACTOR,Cloud
$C1910_MAIN_0700_0600_00_cld,,Preparations okay?
$C1910_MAIN_0700_0600_00_cld,ACTOR,Cloud
$C1910_MAIN_0700_0700_00_skm,,"Okay, okay!"
$C1910_MAIN_0700_0700_00_skm,ACTOR,Security Officer
$C1910_MAIN_0700_0700_02_skm,,NIBLE_18
$C1910_MAIN_0700_0700_02_skm,ACTOR,Security Officer
$C1910_MAIN_0700_0700_03_cld,,NIBLE_19
$C1910_MAIN_0700_0700_03_cld,ACTOR,Cloud
$C1910_MAIN_0700_0700_06_cld,,NIBLE_20
$C1910_MAIN_0700_0700_06_cld,ACTOR,Cloud
$C1910_MAIN_0700_0700_09_sep,,NIBLE_21
$C1910_MAIN_0700_0700_09_sep,ACTOR,Sephiroth
$C1910_MAIN_0700_0800_00_sep,,"Hey, calm down."
$C1910_MAIN_0700_0800_00_sep,ACTOR,Sephiroth
$C1910_MAIN_0700_0900_00_cld,,No way...Impossible
$C1910_MAIN_0700_0900_00_cld,ACTOR,Cloud
$C1910_MAIN_0700_1000_00_sep,,"What are you, a kid?"
$C1910_MAIN_0700_1000_00_sep,ACTOR,Sephiroth
$C1910_MAIN_0700_1100_00_cld,,Hey.
$C1910_MAIN_0700_1100_00_cld,ACTOR,Cloud
$C1910_MAIN_0700_1110_00_cld,,How about you tell me what this job’s about already?
$C1910_MAIN_0700_1110_00_cld,ACTOR,Cloud
$C1910_MAIN_0700_1200_00_cld,,"If it’s another Turks gig, I’m not doing it."
$C1910_MAIN_0700_1200_00_cld,ACTOR,Cloud
$C1910_MAIN_0700_1300_00_sep,,Oh?
$C1910_MAIN_0700_1300_00_sep,ACTOR,Sephiroth
$C1910_MAIN_0700_1400_00_cld,,"I finally made 1st Class, but the ceasefire ended the war for good."
$C1910_MAIN_0700_1400_00_cld,ACTOR,Cloud
$C1910_MAIN_0700_1500_00_cld,,My chance to shine got ripped away.
$C1910_MAIN_0700_1500_00_cld,ACTOR,Cloud
