id,name,text,text_jp
$C1910_MAIN_0100_0050_00_sep,Sephiroth,"Come quickly, Cloud.",早く来い　クラウド
$C1910_MAIN_0100_0070_00_mma,Reporter,Live from the Midgar Highway.,ミッドガル・ハイウェイから中継です
$C1910_MAIN_0100_0080_00_mma,Reporter,"Can you see it? A building has completely collapsed, and the road has caved in.",ご覧いただけますでしょうか<br>ビルが完全に倒壊し　道路が崩落しております
$C1910_MAIN_0100_0090_00_mma,Reporter,"Smoke is rising from multiple buildings, and flames can be seen.",複数の建物から煙が立ちのぼり<br>火の手があがっているのが確認できます
$C1910_MAIN_0100_0100_00_mma,Reporter,"Currently, Midgar is facing an unprecedented crisis.",現在　ミッドガルは<br>かつてない危機にさらされています
$C1910_MAIN_0100_0110_00_mma,Reporter,"The Mako Reactor bombing, the Sector 7 Plate——",魔晄炉爆破事件　七番プレート――
$C1910_MAIN_0100_0120_00_mma,Reporter,"Following the collapse of the Sector 7 Plate,",七番プレート崩壊につづき
$C1910_MAIN_0100_0200_00_mma,Reporter,A tornado that suddenly appeared on the Midgar Highway,ミッドガル・ハイウェイに　突如発生した竜巻が
$C1910_MAIN_0100_0300_00_mma,Reporter,has caused tremendous damage from Sector 0 to Sector 2.,零番街から　弐番街にいたる区画に<br>甚大な被害をもたらしました
$C1910_MAIN_0100_0310_00_mma,NPC,MIDGR___9,MIDGR___9
$C1910_MAIN_0100_0311_00_mma,NPC,MIDGR___10,MIDGR___10
$C1910_MAIN_0100_0320_00_mfa,NPC,MIDGR___11,MIDGR___11
$C1910_MAIN_0100_0321_00_mma,NPC,MIDGR___12,MIDGR___12
$C1910_MAIN_0100_0330_00_mfa,NPC,MIDGR___13,MIDGR___13
$C1910_MAIN_0100_0331_00_mma,NPC,MIDGR___14,MIDGR___14
$C1910_MAIN_0100_0332_00_mma,NPC,MIDGR___15,MIDGR___15
$C1910_MAIN_0100_0340_00_skm,NPC,MIDGR___16,MIDGR___16
$C1910_MAIN_0100_0341_00_skm,NPC,MIDGR___17,MIDGR___17
$C1910_MAIN_0100_0342_00_skm,NPC,MIDGR___18,MIDGR___18
$C1910_MAIN_0100_0400_00_mma,Reporter,"Mayor Domino and the city authorities, with advice from the Shinra Company,",ドミノ市長と市当局は<br>神羅カンパニーの助言を得て
$C1910_MAIN_0100_0500_00_mma,Reporter,"have stated that this tornado is due to the anti-Shinra group ""Avalanche""",この竜巻は　反神羅勢力『アバランチ』による
$C1910_MAIN_0100_0510_00_mma,Reporter,"using an unknown weapon, according to their announcement.",未知の兵器を使った攻撃であるという見解を<br>発表しました
$C1910_MAIN_0100_0600_00_mma,Reporter,"They will continue to investigate, considering the involvement of Wutai, currently under a ceasefire.",現在停戦中の　ウータイの関与も視野に入れて<br>引き続き　調査するとのことです
$C1910_MAIN_0100_0600_05_mma,Reporter,,
$C1910_MAIN_0200_0000_05_zax,Zack,MIDGR___24,MIDGR___24
$C1910_MAIN_0200_0100_00_kre,Kyrie,I heard that Midgar was completely caught in the tornado.,ミッドガルが　ぜんぶ<br>竜巻に入っちゃったんだって
$C1910_MAIN_0200_0100_03_zax,Zack,MIDGR___26,MIDGR___26
$C1910_MAIN_0200_0200_00_mma,Slum Resident,I heard it was some kind of explosion.,俺は　なにかの爆発だって聞いたぜ
$C1910_MAIN_0200_0300_00_kre,Kyrie,Maybe the tornado caused an explosion?,竜巻で爆発したんじゃない？
$C1910_MAIN_0200_0400_00_mma,Slum Resident,Too many things are happening one after another.,立て続けに　色々起こりすぎるよな
$C1910_MAIN_0200_0400_05_kre,Kyrie,MIDGR___30,MIDGR___30
$C1910_MAIN_0200_0401_00_mma,<i>Reporter</i>,"<i>Currently, Midgar is facing an unprecedented crisis.</i>",<i>現在　ミッドガルは<br>かつてない危機にさらされています</i>
$C1910_MAIN_0200_0402_00_mma,<i>Reporter</i>,"<i>The Mako Reactor bombing, the Sector 7 Plate</i>",<i>魔晄炉爆破事件　七番プレート</i>
$C1910_MAIN_0200_0403_00_mma,<i>Reporter</i>,<i>Following the collapse of the Sector 7 Plate——</i>,<i>七番プレート崩壊につづき――</i>
$C1910_MAIN_0200_0404_00_mma,Reporter,MIDGR___34,MIDGR___34
$C1910_MAIN_0200_0404_01_mma,Reporter,MIDGR___35,MIDGR___35
$C1910_MAIN_0200_0405_00_mma,<i>Reporter</i>,<i>We’ll continue bringing you this live broadcast from the scene.</i>,<i>引き続き　現場から生中継でお送りします</i>
$C1910_MAIN_0200_0405_03_zax,Zack,MIDGR___37,MIDGR___37
$C1910_MAIN_0200_0406_00_mma,Reporter,Search efforts by the Shinra military are still ongoing on the collapsed highway.,現在も　倒壊したハイウェイでは<br>神羅軍によって捜索が進められています
$C1910_MAIN_0200_0407_00_mma,Reporter,MIDGR___39,MIDGR___39
$C1910_MAIN_0200_0410_00_skm,Security Guard,"One missing person, a former SOLDIER.",行方不明者１名　元ソルジャー
$C1910_MAIN_0200_0420_00_skm,Security Guard,"Carrying a large sword, the Buster Sword, with a risk of escape.",大型の剣　バスターソードを所持<br>逃亡の恐れあり
$C1910_MAIN_0200_0421_00_skm,<i>Security Guard</i>,<i>Repeat: The fugitive is a former SOLDIER carrying the Buster Sword——</i>,<i>繰り返す　逃亡犯は元ソルジャー<br>バスターソードを所持――</i>
$C1910_MAIN_0200_0430_00_zax,Zack,,
$C1910_MAIN_0200_0440_00_mma,Reporter,"Hey, over there!",おい　あそこ！
$C1910_MAIN_0200_0442_00_mma,Reporter,Is that someone who was rescued?,あれは　救助された方でしょうか
$C1910_MAIN_0200_0450_00_skm,Rescue Team,MIDGR___46,MIDGR___46
$C1910_MAIN_0200_0451_00_skm,Rescue Team,MIDGR___47,MIDGR___47
$C1910_MAIN_0200_0460_00_skm,Rescue Team,MIDGR___48,MIDGR___48
$C1910_MAIN_0200_0461_00_skm,Rescue Team,MIDGR___49,MIDGR___49
$C1910_MAIN_0200_0462_00_skm,Rescue Team,"Hey...over here, over here!",おい、こちこち！
$C1910_MAIN_0200_0470_00_mma,Reporter,"Oh no, turn it that way, that way!",まずい　あっち　あっち向けて
$C1910_MAIN_0200_0470_08_mma,Reporter,MIDGR___52,MIDGR___52
$C1910_MAIN_0200_0480_00_skm,Security Guard,MIDGR___53,MIDGR___53
$C1910_MAIN_0200_0481_00_skm,Security Guard,Contact the rescue team.,救護班に連絡しろ
$C1910_MAIN_0200_0482_00_skm,Security Guard,We’ve secured the recovery target. Returning by helicopter now.,回収対象者を確保した<br>これより　ヘリにて帰還する
$C1910_MAIN_0200_0483_00_skm,Security Guard,"Hurry, we’re leaving!",急げ　出発するぞ！
$C1910_MAIN_0200_0500_00_zax,Zack,,
$C1910_MAIN_0200_0600_00_skm,Security Guard,"Hey, what are you doing?!",おい　なにをしてる！
$C1910_MAIN_0200_0600_03_mma,Cameraman,MIDGR___59,MIDGR___59
$C1910_MAIN_0200_0600_05_skm,Security Guard,MIDGR___60,MIDGR___60
$C1910_MAIN_0200_0610_00_mma,Cameraman,MIDGR___61,MIDGR___61
$C1910_MAIN_0200_0610_07_mma,Reporter,MIDGR___62,MIDGR___62
$C1910_MAIN_0200_0620_00_mma,Reporter,The helicopter is taking off now.,いま　ヘリが飛び立ちます
$C1910_MAIN_0200_0630_00_skm,Security Guard,MIDGR___64,MIDGR___64
$C1910_MAIN_0200_0640_00_mma,Reporter,It appears to be heading toward Sector 5.,伍番街方面に向かう模様です
$C1910_MAIN_0200_0640_05_skm,Security Guard,MIDGR___66,MIDGR___66
$C1910_MAIN_0200_0640_08_mma,Reporter,MIDGR___67,MIDGR___67
$C1910_MAIN_0200_0650_00_skm,Security Guard,"You! Enough already!",貴様　いい加減に――
$C1910_MAIN_0200_0650_05_mma,Cameraman,MIDGR___69,MIDGR___69
$C1910_MAIN_0200_0660_00_mma,Cameraman,MIDGR___70,MIDGR___70
$C1910_MAIN_0200_0660_11_zax,Zack,MIDGR___71,MIDGR___71
$C1910_MAIN_0200_0660_14_zax,Zack,MIDGR___72,MIDGR___72
$C1910_MAIN_0200_0660_16_kre,Kyrie,MIDGR___73,MIDGR___73
$C1910_MAIN_0200_0660_17_zax,Zack,MIDGR___74,MIDGR___74
$C1910_MAIN_0200_0660_20_zax,Zack,MIDGR___75,MIDGR___75
$C1910_MAIN_0200_0660_23_kre,Kyrie,MIDGR___76,MIDGR___76
$C1910_MAIN_0200_0700_00_zax,Zack,Sorry.,悪い
$C1910_MAIN_0200_0700_05_kre,Kyrie,MIDGR___78,MIDGR___78
$C1910_MAIN_0200_0710_00_zax,Zack,"I’ll be right back, so keep an eye on this guy.",すぐ戻るから　こいつ見てて
$C1910_MAIN_0200_0710_05_mma,Slum Resident,MIDGR___80,MIDGR___80
$C1910_MAIN_0200_0710_07_mma,Slum Resident,MIDGR___81,MIDGR___81
$C1910_MAIN_0200_0800_00_zax,Zack,My buddy’s got mako poisoning.,俺のトモダチ　魔晄中毒
$C1910_MAIN_0200_0800_01_kre,Kyrie,MIDGR___83,MIDGR___83
$C1910_MAIN_0200_0800_05_mfa,NPC,MIDGR___84,MIDGR___84
$C1910_MAIN_0200_0800_06_zax,Zack,MIDGR___85,MIDGR___85
$C1910_MAIN_0200_0900_00_kre,Kyrie,Hey!,ちょっと！
$C1910_MAIN_0200_0900_05_mma,NPC,MIDGR___87,MIDGR___87
$C1910_MAIN_0300_0000_05_zax,Zack,MIDGR___88,MIDGR___88
$C1910_MAIN_0300_0000_11_zax,Zack,MIDGR___89,MIDGR___89
$C1910_MAIN_0300_0100_00_zax,Zack,Aerith!,エアリス！
$C1910_MAIN_0300_0100_05_zax,Zack,MIDGR___91,MIDGR___91
$C1910_MAIN_0300_0100_11_skm,NPC,MIDGR___92,MIDGR___92
$C1910_MAIN_0300_0100_13_skm,NPC,MIDGR___93,MIDGR___93
