id,name,text,text_jp
$C1910_MAIN_8000_0100_00_cld,Cloud,My memory ends here. I don’t remember anything after that.,俺の記憶は　ここで終わりだ<br>あとは覚えていない
$C1910_MAIN_8000_0100_05_blt,Barret,GRASE_1,GRASE_1
$C1910_MAIN_8000_0200_00_blt,Barret,"Hey, hey, hey, hey, hey!",おいおい　おいおいおい！
$C1910_MAIN_8000_0300_00_art,Aerith,"""Hero Sephiroth Missing During Training""",『英雄セフィロス　訓練中に行方不明』
$C1910_MAIN_8000_0310_00_art,Aerith,"I watched that news with my mom, you know.",そんなニュース　お母さんと見たよ
$C1910_MAIN_8000_0400_00_art,Aerith,"And then a few days later, they announced, ""Actually, he died in battle"", right?",そして　何日かあとに<br>『実は戦死だった』って発表されたよね
$C1910_MAIN_8000_0500_00_art,Aerith,"Yes, that’s right!",うん　そうそう！
$C1910_MAIN_8000_0600_00_blt,Barret,Shinra’s the one makin’ the news. Those bastards do whatever they want.,ニュースを作っているのは神羅だ<br>やつら　やり放題だからな
$C1910_MAIN_8000_0700_00_blt,Barret,You’d have to be crazy to believe ‘em!,信じるほうがどうかしてる！
$C1910_MAIN_8000_0700_05_art,Aerith,Excuse me~...,GRASE_9
$C1910_MAIN_8000_0800_00_art,Aerith,"I believed it, though.",わたし　信じてましたけど
$C1910_MAIN_8000_0900_00_blt,Barret,"Oh...right, that.",ああ……あれだ
$C1910_MAIN_8000_0910_00_blt,Barret,"Anyway, Shinra’s to blame for everything.",とにかく神羅がぜんぶ悪いってこった
$C1910_MAIN_8000_1000_00_cld,Cloud,"Whatever the truth was five years ago, we fought Sephiroth in Midgar.",５年前の真実はともかく<br>俺たちは　ミッドガルでセフィロスと戦ってきた
$C1910_MAIN_8000_1100_00_cld,Cloud,He’s alive.,あいつは　生きている
$C1910_MAIN_8000_1200_00_art,Aerith,"<i>Alive</i>, or...like, he’s <i>here?</i>",生きているっていうか　いる？
$C1910_MAIN_8000_1300_00_tif,Tifa,"Why’d he show up now, of all times?",どうして　いまになって現れたんだろう
$C1910_MAIN_8000_1300_05_cld,Cloud,GRASE_17,GRASE_17
$C1910_MAIN_8000_1400_00_tif,Tifa,What was he doing for those five years?,５年間　なにをしていたのかな
$C1910_MAIN_8000_1400_05_cld,Cloud,GRASE_19,GRASE_19
$C1910_MAIN_8000_1500_00_cld,Cloud,Sephiroth’s picking up where he left off that day.,セフィロスは　あの日の続きを始めたんだ
$C1910_MAIN_8000_1600_00_cld,Cloud,"With Jenova, he’s gonna take back this planet and continue his plan to become its ruler.",ジェノバとともに　この星を取り戻して<br>支配者になるとかいう計画の続きを
$C1910_MAIN_8000_1700_00_tif,Tifa,After five years?,５年ぶりに？
$C1910_MAIN_8000_1800_00_tif,Tifa,Sorry for being so persistent. It’s just...it’s been bothering me.,ごめんね　しつこくて<br>でも　気になって……
$C1910_MAIN_8000_1800_05_cld,Cloud,GRASE_24,GRASE_24
$C1910_MAIN_8000_1800_08_blt,Barret,GRASE_25,GRASE_25
$C1910_MAIN_8000_1900_00_blt,Barret,This Jenova thing—I don’t get it either.,ジェノバってのも　よくわかんねえな
$C1910_MAIN_8000_2000_00_art,Aerith,GRASE_27,GRASE_27
$C1910_MAIN_8000_2010_00_art,Aerith,Sorry.,ごめん
$C1910_MAIN_8000_2100_00_art,Aerith,"The wastelands? I’m not used to ‘em, and I’m wiped out. My back’s all stiff.",荒野？　慣れてなくて疲れちゃった<br>背中　ガチガチ
$C1910_MAIN_8000_2100_05_tif,Tifa,GRASE_30,GRASE_30
$C1910_MAIN_8000_2200_00_tif,Tifa,Let me feel it a sec.,ちょっと触らせて
$C1910_MAIN_8000_2200_08_art,Aerith,GRASE_32,GRASE_32
$C1910_MAIN_8000_2300_00_art,Aerith,GRASE_33,GRASE_33
$C1910_MAIN_8000_2300_05_tif,Tifa,GRASE_34,GRASE_34
$C1910_MAIN_8000_2400_00_tif,Tifa,Yikes.,たいへん
$C1910_MAIN_8000_2500_00_tif,Tifa,But I might be able to do something about it. Wanna head to the room?,でも　なんとかできるかも<br>部屋行こう？
$C1910_MAIN_8000_2500_05_art,Aerith,GRASE_37,GRASE_37
$C1910_MAIN_8000_2600_00_blt,Barret,"Guess we’ll call it a night here, huh?",んじゃ　今日はこの辺にしとくか
$C1910_MAIN_8000_2700_00_blt,Barret,"In the end, there’s no way we’d figure out what Sephiroth’s been up to anyway.",結局　セフィロスがなにしてたかなんて<br>オレたちにわかるはずねえしな
$C1910_MAIN_8000_2700_01_tif,Tifa,GRASE_40,GRASE_40
$C1910_MAIN_8000_2700_02_art,Aerith,GRASE_41,GRASE_41
$C1910_MAIN_8000_2700_04_red,Red XIII,GRASE_42,GRASE_42
$C1910_MAIN_8000_2700_05_blt,Barret,GRASE_43,GRASE_43
$C1910_MAIN_8000_2700_06_red,Red XIII,GRASE_44,GRASE_44
