id,name,text,text_jp
$C2110_MAIN_3600_0100_00_blt,Barret,"Hey, check it out!",おい　見ろよ
$C2110_MAIN_3600_0100_05_mnt,Black-Cloaked Man,JUNOE_1,JUNOE_1
$C2110_MAIN_3600_0100_07_mnt,Black-Cloaked Man,JUNOE_2,JUNOE_2
$C2110_MAIN_3600_0100_09_mnt,Black-Cloaked Man,JUNOE_3,JUNOE_3
$C2110_MAIN_3600_0100_11_mnt,Black-Cloaked Man,JUNOE_4,JUNOE_4
$C2110_MAIN_3600_0200_00_cld,Cloud,What about Shinra?,神羅は？
$C2110_MAIN_3600_0200_05_art,Aerith,JUNOE_6,JUNOE_6
$C2110_MAIN_3600_0300_00_art,Aerith,Doesn’t look like they’re here.,いないみたい
$C2110_MAIN_3600_0300_03_tif,Tifa,JUNOE_8,JUNOE_8
$C2110_MAIN_3600_0300_05_tif,Tifa,JUNOE_9,JUNOE_9
$C2110_MAIN_3600_0400_00_blt,Barret,JUNOE_10,JUNOE_10
$C2110_MAIN_3600_0400_02_cld,Cloud,JUNOE_11,JUNOE_11
$C2110_MAIN_3600_0400_03_art,Aerith,JUNOE_12,JUNOE_12
$C2110_MAIN_3600_0400_04_tif,Tifa,JUNOE_13,JUNOE_13
$C2110_MAIN_3600_0400_06_blt,Barret,JUNOE_14,JUNOE_14
$C2110_MAIN_3600_0400_09_mnt,Black-Cloaked Man,JUNOE_15,JUNOE_15
$C2110_MAIN_3600_0500_00_tif,Tifa,No way...,そんな……
$C2110_MAIN_3600_0500_03_blt,Barret,JUNOE_17,JUNOE_17
$C2110_MAIN_3600_0600_00_blt,Barret,Makes me wanna cry.,泣けてくるぜ
$C2110_MAIN_3600_0600_05_mnt,Black-Cloaked Man,JUNOE_19,JUNOE_19
$C2110_MAIN_3600_0600_07_mnt,Black-Cloaked Man,JUNOE_20,JUNOE_20
$C2110_MAIN_3600_0600_09_mnt,Black-Cloaked Man,JUNOE_21,JUNOE_21
$C2110_MAIN_3600_0610_00_art,Aerith,Are they heading over there?,あそこ　行くのかな
$C2110_MAIN_3600_0620_00_cld,Cloud,"That’s Junon, Shinra’s fortress city.",神羅の要塞都市　ジュノンだ
$C2110_MAIN_3600_0700_00_cld,Cloud,Let’s go.,行こう
$C2110_MAIN_3800_0100_00_tif,Tifa,I wonder where that bird from earlier came from?,さっきの鳥って　どこから来たのかな
$C2110_MAIN_3800_0200_00_red,Red XIII,I heard a giant condor settled in an old mako reactor on a remote island.,孤島の古い魔晄炉に<br>巨大なコンドルが住みついた
$C2110_MAIN_3800_0300_00_red,Red XIII,I’ve heard that story before. But there’s no way to get to that island.,そんな話を聞いたことがある<br>だが　その島へ行く方法はない
$C2110_MAIN_3800_0400_00_blt,Barret,"Serves Shinra right, huh!",神羅め　ざまあねえな
$C2110_MAIN_3800_0500_00_tif,Tifa,"An island, huh...Guess there’s nothing we can do about it.",島か……<br>じゃあ　どうしようもないね
$C2110_MAIN_3800_0600_00_cld,Cloud,"Yeah, let’s head to Junon first.",ああ　まずジュノンへ行こう
$C2110_MAIN_3900_0100_00_art,Aerith,Is Junon up ahead?,この先が　ジュノン？
$C2110_MAIN_3900_0200_00_cld,Cloud,"No, there’s a small village beneath the fortress city.",いや　要塞都市の下に小さな村がある
$C2110_MAIN_3900_0300_00_red,Red XIII,Under Junon. A rundown fishing village.,アンダージュノン　寂れた漁村だ
$C2110_MAIN_3900_0400_00_blt,Barret,Shinra’s mess always trickles down. Same story everywhere.,神羅のしわ寄せは　全部下にくるんだ<br>どこもいっしょだぜ
$C2110_MAIN_4000_0100_00_skm,Guard,This area’s off-limits.,ここは通行禁止だ
