id,name,text,text_jp
$C2410_MAIN_0100_0000_10_yfi,Yuffie,CORLE_0,CORLE_0
$C2410_MAIN_0100_0000_11_yfi,Yuffie,CORLE_1,CORLE_1
$C2410_MAIN_0100_0100_00_yfi,Yuffie,See ya later~!,おっさき～！
$C2410_MAIN_0100_0100_07_yfi,Yuffie,CORLE_3,CORLE_3
$C2410_MAIN_0100_0100_08_yfi,Yuffie,CORLE_4,CORLE_4
$C2410_MAIN_0100_0100_09_snk,Shinra Middle Manager,CORLE_5,CORLE_5
$C2410_MAIN_0100_0100_10_yfi,Yuffie,CORLE_6,CORLE_6
$C2410_MAIN_0100_0100_11_blt,Barret,CORLE_7,CORLE_7
$C2410_MAIN_0100_0100_13_yfi,Yuffie,CORLE_8,CORLE_8
$C2410_MAIN_0100_0200_00_blt,Barret,I ain’t got no use for a flashy place like this! Let’s get outta here quick!,こんな　チャラチャラしたところに用はねえ！<br>さっさと通り過ぎるぞ
$C2410_MAIN_0100_0300_00_cld,Cloud,Once those guys start movin’.,あいつらが　動き出したらな
$C2410_MAIN_0100_0300_08_art,Aerith,CORLE_11,CORLE_11
$C2410_MAIN_0100_0400_00_art,Aerith,Hey!,ね！
$C2410_MAIN_0100_0400_07_tif,Tifa,CORLE_13,CORLE_13
$C2410_MAIN_0100_0400_09_blt,Barret,CORLE_14,CORLE_14
$C2410_MAIN_0100_0410_00_art,Aerith,How about a little sightseeing?,ちょっとだけ　観光してこ？
$C2410_MAIN_0100_0500_00_art,Aerith,"I mean, it’s Costa del Sol! Costa~ del~ Sol~!",だって　コスタ・デル・ソルだよ？<br>コスタ・デル・ソル！
$C2410_MAIN_0100_0500_05_blt,Barret,CORLE_17,CORLE_17
$C2410_MAIN_0100_0600_00_red,Red XIII,Can’t we cool off somewhere?,どこかで　涼ませてくれないか
$C2410_MAIN_0100_0610_00_red,Red XIII,This heat’s unbearable.,暑くてたまらない
$C2410_MAIN_0100_0700_00_blt,Barret,"Quit whining, Furball!",毛　そっちまえよ！
$C2410_MAIN_0100_0700_03_art,Aerith,CORLE_21,CORLE_21
$C2410_MAIN_0100_0700_05_nem,Hospitality Girls,CORLE_22,CORLE_22
$C2410_MAIN_0100_0700_06_frn,Hospitality Girls,CORLE_23,CORLE_23
$C2410_MAIN_0100_0700_07_yld,Hospitality Girls,CORLE_24,CORLE_24
$C2410_MAIN_0100_0700_08_blt,Barret,CORLE_25,CORLE_25
$C2410_MAIN_0100_0700_11_tif,Tifa,CORLE_26,CORLE_26
$C2410_MAIN_0100_0700_13_nem,Hospitality Girls,Costa~!,コスタ～！
$C2410_MAIN_0100_0800_00_kpn,Mayor Kapono,"We~lcome to Costa del Sol! I’m Kapono, the mayor.",よ～うこそ　コスタ・デル・ソルへ！<br>わたくし　市長のカポノです
$C2410_MAIN_0100_0800_05_kpn,Mayor Kapono,Now...,しあ
$C2410_MAIN_0100_0800_07_frn,Hospitality Girls,"Pleaese, take it.",はい どうぞ
$C2410_MAIN_0100_0800_09_yld,Hospitality Girls,Here.,さあ
$C2410_MAIN_0100_0900_00_kpn,Mayor Kapono,Here’s a little gift for you.,こちらは　プレゼントです
$C2410_MAIN_0100_0900_05_frn,Hospitality Girls,CORLE_33,CORLE_33
$C2410_MAIN_0100_1000_00_kpn,Mayor Kapono,"Without this, your Costa vacation can’t even begin!",これがなくては<br>コスタのバカンスは始まりませんからな
$C2410_MAIN_0100_1000_03_nem,Hospitality Girls,CORLE_35,CORLE_35
$C2410_MAIN_0100_1000_05_art,Aerith,CORLE_36,CORLE_36
$C2410_MAIN_0100_1000_07_mfa,NPC,CORLE_37,CORLE_37
$C2410_MAIN_0100_1000_09_tif,Tifa,CORLE_38,CORLE_38
$C2410_MAIN_0100_1100_00_kpn,Mayor Kapono,It suits you ve~ry well!,よ～く　お似合いですぞ
$C2410_MAIN_0100_1200_00_kpn,Mayor Kapono,"This is a paradise of shining sun, a supreme resort blessed by the heavens!",ここは　輝く太陽の楽園<br>天からの恵み降り注ぐ　極上リゾート
$C2410_MAIN_0100_1200_05_frn,Hospitality Girls,CORLE_41,CORLE_41
$C2410_MAIN_0100_1200_06_nem,Hospitality Girls,CORLE_42,CORLE_42
$C2410_MAIN_0100_1200_07_yld,Hospitality Girls,CORLE_43,CORLE_43
$C2410_MAIN_0100_1300_00_kpn,Mayor Kapono,"Forget your dull everyday life in a flash~! Please, enjoy yourselves to your heart’s content!",華のない日常はパア～っと忘れて<br>ど～ぞ　心ゆくまでお楽しみください
$C2410_MAIN_0100_1400_00_kpn,Mayor Kapono,"Welcome, we~lcome!",ようこそ　よ～うこそ
$C2410_MAIN_0100_1400_02_frn,Hospitality Girls,CORLE_46,CORLE_46
$C2410_MAIN_0100_1400_03_yld,Hospitality Girls,CORLE_47,CORLE_47
$C2410_MAIN_0100_1400_04_nem,Hospitality Girls,CORLE_48,CORLE_48
$C2410_MAIN_0100_1400_05_art,Aerith,CORLE_49,CORLE_49
$C2410_MAIN_0100_1500_00_art,Aerith,"The beach is that way, right?",ビーチ　あっちかな？
$C2410_MAIN_0100_1600_00_tif,Tifa,"I’d like to take a shower first, though. Let’s find a hotel.",そのまえに　シャワー浴びたいな<br>ホテル　探そうよ
$C2410_MAIN_0100_1600_05_art,Aerith,CORLE_52,CORLE_52
$C2410_MAIN_0100_1600_07_blt,Barret,CORLE_53,CORLE_53
$C2410_MAIN_0100_1600_09_art,Aerith,CORLE_54,CORLE_54
$C2410_MAIN_0100_1700_00_blt,Barret,"You ain’t gonna say we’re goin’ swimmin’, are ya?",泳ぐとか　言いださねえよな
$C2410_MAIN_0100_1800_00_blt,Barret,"They’re sayin’ it, huh? They’re totally sayin’ it, right?",言ってるな　それ　言ってるよな？
$C2410_MAIN_0200_0100_00_snk,Shinra Middle Manager,Why are you all in a place like this!,なんで　こんなところに君たちが！
