id,name,text,text_jp
$C2610_MAIN_0100_0480_05_yfi,Yuffie,GOLDE_0,GOLDE_0
$C2610_MAIN_0100_0480_07_art,Aerith,GOLDE_1,GOLDE_1
$C2610_MAIN_0100_0500_00_yfi,Yuffie,"Hey, look, look! Something’s coming our way~!",ねえ　見て見て　なんか来るよ～！
$C2610_MAIN_0100_0500_02_art,Aerith,GOLDE_3,GOLDE_3
$C2610_MAIN_0100_0500_04_tif,Tifa,GOLDE_4,GOLDE_4
$C2610_MAIN_0100_0500_07_yfi,Yuffie,GOLDE_5,GOLDE_5
$C2610_MAIN_0100_0500_08_art,Aerith,GOLDE_6,GOLDE_6
$C2610_MAIN_0100_0500_09_tif,Tifa,GOLDE_7,GOLDE_7
$C2610_MAIN_0100_0500_11_yfi,Yuffie,GOLDE_8,GOLDE_8
$C2610_MAIN_0100_0500_15_yfi,Yuffie,GOLDE_9,GOLDE_9
$C2610_MAIN_0100_0500_19_yfi,Yuffie,GOLDE_10,GOLDE_10
$C2610_MAIN_0100_0500_21_art,Aerith,GOLDE_11,GOLDE_11
$C2610_MAIN_0100_0600_00_art,Aerith,They’re more than welcome!,大歓迎だね
$C2610_MAIN_0100_0600_03_art,Aerith,GOLDE_13,GOLDE_13
$C2610_MAIN_0100_0600_06_tif,Tifa,GOLDE_14,GOLDE_14
$C2610_MAIN_0100_0600_10_red,Red XIII,GOLDE_15,GOLDE_15
$C2610_MAIN_0100_0600_15_yfi,Yuffie,GOLDE_16,GOLDE_16
$C2610_MAIN_0200_0000_02_yfi,Yuffie,GOLDE_17,GOLDE_17
$C2610_MAIN_0200_0000_03_art,Aerith,GOLDE_18,GOLDE_18
$C2610_MAIN_0200_0000_04_tif,Tifa,GOLDE_19,GOLDE_19
$C2610_MAIN_0200_0000_05_yfi,Yuffie,GOLDE_20,GOLDE_20
$C2610_MAIN_0200_0000_07_art,Aerith,GOLDE_21,GOLDE_21
$C2610_MAIN_0200_0000_10_tif,Tifa,GOLDE_22,GOLDE_22
$C2610_MAIN_0200_0100_00_yfi,Yuffie,"Hurry, hurry!",はやく　はやく！
$C2610_MAIN_0200_0200_00_art,Aerith,Let’s go!,いこ！
$C2610_MAIN_0200_0300_00_tif,Tifa,GOLDE_25,GOLDE_25
$C2610_MAIN_0200_0300_02_yfi,Yuffie,GOLDE_26,GOLDE_26
$C2610_MAIN_0200_0300_04_art,Aerith,GOLDE_27,GOLDE_27
$C2610_MAIN_0200_0300_05_tif,Tifa,GOLDE_28,GOLDE_28
$C2610_MAIN_0200_0300_06_blt,Barret,GOLDE_29,GOLDE_29
$C2610_MAIN_0200_0300_07_cld,Cloud,GOLDE_30,GOLDE_30
$C2610_MAIN_0300_0050_07_art,Aerith,GOLDE_31,GOLDE_31
$C2610_MAIN_0300_0050_09_yfi,Yuffie,GOLDE_32,GOLDE_32
$C2610_MAIN_0300_0050_10_mma,NPC,GOLDE_33,GOLDE_33
$C2610_MAIN_0300_0050_11_art,Aerith,GOLDE_34,GOLDE_34
$C2610_MAIN_0300_0100_00_tif,Tifa,"Excuse me, coming through!",すいません　通ります
$C2610_MAIN_0300_0100_02_mma,NPC,GOLDE_36,GOLDE_36
$C2610_MAIN_0300_0100_03_mma,NPC,GOLDE_37,GOLDE_37
$C2610_MAIN_0300_0100_04_art,Aerith,GOLDE_38,GOLDE_38
$C2610_MAIN_0300_0100_07_yfi,Yuffie,GOLDE_39,GOLDE_39
$C2610_MAIN_0300_0100_09_art,Aerith,GOLDE_40,GOLDE_40
$C2610_MAIN_0300_0100_11_tif,Tifa,GOLDE_41,GOLDE_41
$C2610_MAIN_0300_0200_00_cat,???,"Alright, everyone~! Let’s do this together~!",それではみなさ～ん　ごいっしょに～
$C2610_MAIN_0300_0300_00_cat,???,Dance or it’s a big ol’ loss!,踊らニャそんそん！
$C2610_MAIN_0300_0300_05_yfi,Yuffie,GOLDE_44,GOLDE_44
$C2610_MAIN_0300_0300_09_yfi,Yuffie,GOLDE_45,GOLDE_45
$C2610_MAIN_0300_0300_10_art,Aerith,GOLDE_46,GOLDE_46
$C2610_MAIN_0300_0300_11_blt,Barret,GOLDE_47,GOLDE_47
$C2610_MAIN_0300_0300_12_mfa,NPC,GOLDE_48,GOLDE_48
$C2610_MAIN_0300_0300_13_yfi,Yuffie,GOLDE_49,GOLDE_49
$C2610_MAIN_0300_0300_14_mfa,NPC,GOLDE_50,GOLDE_50
$C2610_MAIN_0300_0300_15_tif,Tifa,GOLDE_51,GOLDE_51
$C2610_MAIN_0300_0300_16_mfa,NPC,GOLDE_52,GOLDE_52
$C2610_MAIN_0300_0300_18_art,Aerith,GOLDE_53,GOLDE_53
$C2610_MAIN_0300_0300_20_tif,Tifa,GOLDE_54,GOLDE_54
$C2610_MAIN_0300_0400_00_blt,NPC,GOLDE_55,GOLDE_55
$C2610_MAIN_0300_0410_00_ani,Andrea,GOLDE_56,GOLDE_56
$C2610_MAIN_0300_0410_11_ani,Andrea,GOLDE_57,GOLDE_57
$C2610_MAIN_0300_0410_16_ani,Andrea,GOLDE_58,GOLDE_58
$C2610_MAIN_0300_0410_21_yfi,Yuffie,GOLDE_59,GOLDE_59
$C2610_MAIN_0300_0410_22_yfi,Yuffie,GOLDE_60,GOLDE_60
$C2610_MAIN_0300_0410_23_yfi,Yuffie,GOLDE_61,GOLDE_61
$C2610_MAIN_0300_0420_00_ani,Andrea,Beautiful!,ビューティフル！
$C2610_MAIN_0300_0422_05_tif,Tifa,GOLDE_63,GOLDE_63
$C2610_MAIN_0300_0422_07_art,Aerith,GOLDE_64,GOLDE_64
$C2610_MAIN_0300_0422_11_yfi,Yuffie,GOLDE_65,GOLDE_65
$C2610_MAIN_0300_0422_12_art,Aerith,GOLDE_66,GOLDE_66
$C2610_MAIN_0300_0422_13_tif,Tifa,GOLDE_67,GOLDE_67
$C2610_MAIN_0300_0422_15_mma,NPC,GOLDE_68,GOLDE_68
$C2610_MAIN_0300_0422_18_yfi,Yuffie,GOLDE_69,GOLDE_69
$C2610_MAIN_0300_0422_19_tif,Tifa,GOLDE_70,GOLDE_70
$C2610_MAIN_0300_0422_21_art,Aerith,GOLDE_71,GOLDE_71
$C2610_MAIN_0300_0430_00_dio,???,GOLDE_72,GOLDE_72
$C2610_MAIN_0300_0430_11_dio,???,GOLDE_73,GOLDE_73
$C2610_MAIN_0300_0430_15_dio,???,GOLDE_74,GOLDE_74
$C2610_MAIN_0300_0430_16_dio,???,GOLDE_75,GOLDE_75
$C2610_MAIN_0300_0430_18_yfi,Yuffie,GOLDE_76,GOLDE_76
$C2610_MAIN_0300_0430_19_art,Aerith,GOLDE_77,GOLDE_77
$C2610_MAIN_0300_0430_22_dio,???,GOLDE_78,GOLDE_78
$C2610_MAIN_0300_0430_23_dio,???,GOLDE_79,GOLDE_79
$C2610_MAIN_0300_0430_25_dio,???,GOLDE_80,GOLDE_80
$C2610_MAIN_0300_0430_26_dio,???,GOLDE_81,GOLDE_81
$C2610_MAIN_0300_0430_27_mma,NPC,GOLDE_82,GOLDE_82
$C2610_MAIN_0300_0430_28_yfi,Yuffie,GOLDE_83,GOLDE_83
$C2610_MAIN_0300_0430_32_mma,NPC,GOLDE_84,GOLDE_84
$C2610_MAIN_0300_0430_34_mma,NPC,GOLDE_85,GOLDE_85
$C2610_MAIN_0300_0430_36_mma,NPC,GOLDE_86,GOLDE_86
$C2610_MAIN_0300_0440_00_yfi,NPC,GOLDE_87,GOLDE_87
$C2610_MAIN_0300_0440_02_art,Aerith,GOLDE_88,GOLDE_88
$C2610_MAIN_0300_0440_03_mma,NPC,GOLDE_89,GOLDE_89
$C2610_MAIN_0300_0440_05_dio,???,GOLDE_90,GOLDE_90
$C2610_MAIN_0300_0450_00_yfi,Yuffie,GOLDE_91,GOLDE_91
$C2610_MAIN_0300_0450_07_tif,Tifa,GOLDE_92,GOLDE_92
$C2610_MAIN_0300_0450_08_art,Aerith,GOLDE_93,GOLDE_93
$C2610_MAIN_0300_0450_12_dio,???,GOLDE_94,GOLDE_94
$C2610_MAIN_0300_0450_17_mfa,NPC,GOLDE_95,GOLDE_95
$C2610_MAIN_0300_0500_00_blt,Barret,What’s that?,なんだ？
$C2610_MAIN_0300_0600_00_dio,???,"Young one, you’re tonight’s challenger!",若者よ　君が今宵のチャレンジャーだ！
$C2610_MAIN_0300_0600_03_cld,Cloud,GOLDE_98,GOLDE_98
$C2610_MAIN_0300_0600_04_mma,NPC,GOLDE_99,GOLDE_99
$C2610_MAIN_0300_0600_06_cld,Cloud,GOLDE_100,GOLDE_100
$C2610_MAIN_0300_0700_00_dio,???,"Welcome to the golden paradise, Gold Saucer!",ようこそ<br>黄金の楽園　ゴールドソーサーへ
$C2610_MAIN_0300_0800_00_dio,Dio,"I am Dio, the park’s director!",私は　園長のディオ
