id,name,text,text_jp
$C2710_MAIN_0100_0100_00_riv,Reeve,GONGE_0,GONGE_0
$C2710_MAIN_0100_0200_00_riv,Reeve,Looks good to me.,これでよしと
$C2710_MAIN_0100_0300_00_mfa,Secretary,"Director, did something good happen?",統括　なにかいいことあったんですか？
$C2710_MAIN_0100_0400_00_riv,Reeve,"Yeah, I got some solid work done.",ああ　いい仕事ができた
$C2710_MAIN_0100_0400_05_mfa,Secretary,GONGE_4,GONGE_4
$C2710_MAIN_0100_0400_07_mfa,Secretary,GONGE_5,GONGE_5
$C2710_MAIN_0100_0500_00_tsu,Tseng,Keep the fun in moderation.,お遊びは　ほどほどに
$C2710_MAIN_0100_0500_05_riv,Reeve,GONGE_7,GONGE_7
$C2710_MAIN_0100_0600_00_tsu,Tseng,GONGE_8,GONGE_8
$C2710_MAIN_0200_0100_00_tsu,Tseng,You called for me?,お呼びでしょうか
$C2710_MAIN_0200_0200_00_ruf,Rufus,Is the Ancient safe?,古代種は無事なのか
$C2710_MAIN_0200_0300_00_tsu,Tseng,We’re keeping her under surveillance.,監視を続けていますが
$C2710_MAIN_0200_0400_00_ruf,Rufus,Any signs she’s heading to the Promised Land?,約束の地へ向かっている気配は？
$C2710_MAIN_0200_0500_00_tsu,Tseng,Not at the moment.,いまのところ　ありません
$C2710_MAIN_0200_0600_00_ruf,Rufus,I see.,そうか
$C2710_MAIN_0200_0600_05_tsu,Tseng,GONGE_15,GONGE_15
$C2710_MAIN_0200_0700_00_tsu,Tseng,Are you more concerned about that than the Huge Materia?,ヒュージマテリアより気になりますか？
$C2710_MAIN_0200_0700_05_ruf,Rufus,GONGE_17,GONGE_17
$C2710_MAIN_0200_0800_00_ruf,Rufus,It’s been a dream of mine since I was a kid.,子供の頃からの夢だからな
$C2710_MAIN_0200_0810_00_ruf,Rufus,I absolutely have to see it with my own eyes.,絶対に　この目で見たい
$C2710_MAIN_0200_0900_00_tsu,Tseng,Then we’ll tighten surveillance.,では　監視を強化しましょう
$C2710_MAIN_0200_0900_05_ruf,Rufus,GONGE_21,GONGE_21
$C2710_MAIN_0200_1000_00_rgs,Glenn,"Dreams, huh? That’s kinda cute.",夢とはまた可愛らしい
$C2710_MAIN_0200_1000_03_ruf,Rufus,GONGE_23,GONGE_23
$C2710_MAIN_0200_1000_06_ruf,Rufus,GONGE_24,GONGE_24
$C2710_MAIN_0200_1100_00_ruf,Rufus,Just who the hell are you?,おまえは一体　なんだ？
$C2710_MAIN_0200_1200_00_rgs,Glenn,"Don’t be so cold, man.",水くさいこと言うなよ
$C2710_MAIN_0200_1300_00_rgs,Glenn,"I can see right into that head of yours, prez. You’re scared of me, ain’t ya?",頭の中がまる見えだぜ　社長<br>俺が怖いんだろう？
$C2710_MAIN_0200_1400_00_rgs,Glenn,"Oh, wait—I can still see more. What’s this?",おっと　まだ見えるぞ　なんだ？
$C2710_MAIN_0200_1500_00_rgs,Glenn,"Fear of your old man, hatred, inferiority—",父親への畏怖　憎悪　劣等感
$C2710_MAIN_0200_1600_00_rgs,Glenn,"And deep down, locked away, loneliness.",その奥に封じられた孤独
$C2710_MAIN_0200_1700_00_ruf,Rufus,I won’t deny it.,否定はしない
$C2710_MAIN_0200_1710_00_ruf,Rufus,It’s all my driving force.,すべては　俺の原動力だ
$C2710_MAIN_0200_1800_00_rgs,Glenn,"Heh, not bad.",へえ　いいじゃないか
$C2710_MAIN_0200_1900_00_rgs,Glenn,This planet could use a little more excitement.,星には　いますこし刺激が必要だ
$C2710_MAIN_0200_1910_00_rgs,Glenn,Stir it up with that power of yours.,その力で　かき混ぜてくれ
$C2710_MAIN_0200_2000_00_ruf,Rufus,"So I’m that interesting to you, huh?",そんなに俺が気になるか
$C2710_MAIN_0700_0080_05_yfi,Yuffie,GONGE_37,GONGE_37
$C2710_MAIN_0700_0090_00_cat,Cait Sith,"Whoa, ‘scuse me!",ちょお　すいません
$C2710_MAIN_0700_0100_00_cat,Cait Sith,"Hey, folks! Where we headin’ next?",お客さ～ん　これからどこ行きましょ？
$C2710_MAIN_0700_0200_00_blt,Barret,South! We’re goin’ south!,南だ　南へ行くぞ
$C2710_MAIN_0700_0300_00_cld,Cloud,Something down there?,なにかあるのか？
$C2710_MAIN_0700_0400_00_blt,Barret,North’s Corel. Ain’t goin’ back.,北はコレルだ　戻る気はねえ
