id,name,text,text_jp
$C2910_MAIN_0200_0100_00_yfi,Yuffie,"Ugh, no good...",うう　ダメだ……
$C2910_MAIN_0200_0200_00_cid,Cid,What’s wrong?,なんだ？
$C2910_MAIN_0200_0300_00_yfi,Yuffie,I thought the plane was gonna be fine...,飛行機は大丈夫だと思ったのに……
$C2910_MAIN_0200_0400_00_cid,Cid,"Hey, if you’re gonna puke, do it outside!",おい　吐くなら外に吐けよ！
$C2910_MAIN_0200_0500_00_yfi,Yuffie,Urghh~,おええ～
$C2910_MAIN_0300_0100_00_blt,Barret,"Yo, Cid!",よう　シド
$C2910_MAIN_0300_0200_00_cid,Cid,What’s up?,なんでい
$C2910_MAIN_0300_0300_00_blt,Barret,Flying around like this—what if Shinra shows up?,こんなふうに飛んでてよ<br>神羅が来たら　どうすんだ？
$C2910_MAIN_0300_0400_00_cid,Cid,The sky don’t belong to nobody. Shinra can eat shit for all I care!,空は誰のモンでもねえ<br>神羅なんか　クソ食らえってなもんだ！
$C2910_MAIN_0300_0500_00_blt,Barret,"Hahahaha! Man, I like you! That’s the spirit!",ハハハハハ！<br>あんたイイな　そうこなくちゃよ
$C2910_MAIN_0400_0100_00_red,Red XIII,Looks like we’re getting pretty close.,だいぶ　近づいてきたようだな
$C2910_MAIN_0400_0200_00_cid,Cid,"Yeah, time to land soon.",おう　そろそろ降りるぞ
$C2910_MAIN_0500_0049_05_cid,Cid,COSME_12,COSME_12
$C2910_MAIN_0500_0050_00_cid,Cid,Alright—touchdown!,ほーい　到着！
$C2910_MAIN_0500_0050_09_yfi,Yuffie,COSME_14,COSME_14
$C2910_MAIN_0500_0050_15_yfi,Yuffie,COSME_15,COSME_15
$C2910_MAIN_0500_0050_19_cid,Cid,COSME_16,COSME_16
$C2910_MAIN_0500_0100_00_cid,Cid,This is as far as I can guide ya.,オレに案内できんのは　ここまでだ
$C2910_MAIN_0500_0110_00_cid,Cid,"Can’t get any closer than this, so just hoof it from here!",これ以上は近寄れねえから<br>あとは　テキトーに歩け！
$C2910_MAIN_0500_0200_00_blt,Barret,What do we do next time we need a ride?,次に頼むときは　どうすりゃいい？
$C2910_MAIN_0500_0200_05_cid,Cid,COSME_20,COSME_20
$C2910_MAIN_0500_0300_00_cid,Cid,Send up a smoke signal.,狼煙あげろ
$C2910_MAIN_0500_0310_00_cid,Cid,"If there’s a runway, I’ll do my damnedest.",滑走路があれば　最善を尽くす
$C2910_MAIN_0500_0400_00_cid,Cid,Thanks for flying with us~!,またのご利用を～！
$C2910_MAIN_0500_0400_05_cid,Cid,COSME_24,COSME_24
$C2910_MAIN_0500_0500_00_red,Red XIII,I’ll guide you to the valley.,谷まで案内しよう
$C2910_MAIN_0600_0100_00_red,Red XIII,"That’s Cosmo Canyon—my beautiful, noble hometown.",あれがコスモキャニオン<br>美しく気高い　私の故郷だ
$C2910_MAIN_0600_0200_00_blt,Barret,Whoa~ The holy land of planetology’s callin’ me!,はあ～<br>星命学の聖地が　オレを呼んでるぜ～
$C2910_MAIN_0600_0300_00_art,Aerith,This is gonna be fun!,楽しみだね
$C2910_MAIN_0700_0100_00_cat,Cait Sith,"So, I hate to bring this up again, but...",せや　話を蒸し返すんやけど
$C2910_MAIN_0700_0200_00_cat,Cait Sith,"Y’all keep goin’ on about Sephiroth bein’ the enemy and all that jazz, right?",みなさん　敵はセフィロスやとかナントカ<br>ゆーてますよね
$C2910_MAIN_0700_0400_00_cat,Cait Sith,Assumin’ what y’all say is true—that the great hero ain’t dead—,みなさんのゆーとおり<br>かの英雄が死んでなかったとして
$C2910_MAIN_0700_0410_00_cat,Cait Sith,What’s that guy up to these days?,あのひと　なにしてるんです？
$C2910_MAIN_0700_0500_00_cld,Cloud,Seems he’s trying to protect the planet.,星を守るつもりらしい
$C2910_MAIN_0700_0600_00_cat,Cait Sith,Huh? Sounds like a decent fella to me!,なんや　ええ人に聞こえますけど
$C2910_MAIN_0700_0700_00_cld,Cloud,"If it’s to save the planet, he doesn’t care what happens to people. That’s his way.",星を守るためなら　人はどうなってもいい<br>それが　あいつのやり方だ
$C2910_MAIN_0700_0800_00_cat,Cait Sith,"Well, that’s mighty extreme~ Cities need people, and so does the planet!",そらまた　えらい過激ですな～<br>人あっての街　人あっての星やのに
$C2910_MAIN_0700_0900_00_blt,Barret,I’ll bring somethin’ up too—there’s another enemy out there!,オレも蒸し返すが　敵はほかにもいるぜ？
$C2910_MAIN_0700_1000_00_blt,Barret,"Not only do they keep gettin’ in our way, but they’re still suckin’ energy outta the planet—the Shinra Company!",オレたちの邪魔をするばかりか　相も変わらず<br>星からエネルギーをかすめ取る神羅カンパニーだ
$C2910_MAIN_0700_1100_00_cat,Cait Sith,Eep!,ギクッ！
$C2910_MAIN_0700_1200_00_blt,Barret,"We’ll use your connections to the max, but if you double-cross us...",おまえのコネは　最大限に利用させてもらう<br>だが　もし裏切ったら……
$C2910_MAIN_0700_1300_00_blt,Barret,It’s the cat-punishment treatment! I don’t let shit slide!,ネコっかわいがりの刑だ！<br>オレはしつこいぜえ？
$C2910_MAIN_0700_1400_00_cat,Cait Sith,Scary~!,こわ～！
$C2910_MAIN_0800_0100_00_red,Red XIII,COSME_43,COSME_43
$C2910_MAIN_0800_0300_00_red,Red XIII,I’m back~! Nanaki’s home~!,ただいま～<br>ナナキ　帰りました～！
$C2910_MAIN_0800_0390_00_mma,Lookout,Nanaki!,ナナキ！
$C2910_MAIN_0800_0400_00_mma,Lookout,"Welcome back, Nanaki!",おかえりよ　ナナキ
$C2910_MAIN_0800_0500_00_red,Red XIII,COSME_47,COSME_47
$C2910_MAIN_0800_0600_00_mma,Lookout,Good to see you safe. Really good!,無事でよかった　よかったなあ
$C2910_MAIN_0800_0700_00_blt,Barret,COSME_49,COSME_49
