id,name,text,text_jp
$C1910_MAIN_0600_0100_00_blt,<i>Barret</i>,"<i>Alright then, let’s hear it. Your beef with Sephiroth—what’s the deal?</i>",<i>さーて　聞かせてもらおうか<br>おまえさんと　セフィロスの因縁をよ</i>
$C1910_MAIN_0600_0200_00_cld,<i>Cloud</i>,"<i>Tifa, I’m gonna tell it all.</i>",<i>ティファ　ぜんぶ話すぞ</i>
$C1910_MAIN_0600_0300_00_tif,<i>Tifa</i>,"<i>Yeah, I’m okay.</i>",<i>うん　私は大丈夫</i>
$C1910_MAIN_0600_0400_00_cld,<i>Cloud</i>,"<i>Five years ago, I was 16.</i>",<i>５年前　俺は１６歳だった</i>
$C1910_MAIN_0600_0500_00_cld,<i>Cloud</i>,"<i>SOLDIER didn’t have much action back then. Even when there was work, it was mostly stuff I didn’t care about.</i>",<i>もう　ソルジャーにはあまり出番がなくて<br>あっても　気の乗らない任務が多かった</i>
$C1910_MAIN_0600_0600_00_cld,<i>Cloud</i>,"<i>Then, an order came down.</i>",<i>そんな中　命令が下ったんだ</i>
$C1910_MAIN_0600_0700_00_cld,<i>Cloud</i>,"<i>The hero, Sephiroth, was with us...</i>",<i>英雄セフィロスが一緒で……</i>
$C1910_MAIN_0600_0710_00_cld,<i>Cloud</i>,<i>I was pretty excited.</i>,<i>俺は　はしゃいでいた</i>
$C1910_MAIN_0600_0800_sep,Sephiroth,"Hurry up, Cloud.",早く来い　クラウド
$C1910_MAIN_0700_0100_00_cld,Cloud,"Pretty crazy rain, huh?",すごい雨だな
$C1910_MAIN_0700_0100_05_cld,Security Officer,NIBLE_10,NIBLE_10
$C1910_MAIN_0700_0200_00_cld,Cloud,"Hey, how you holding up?",おい　気分はどうだ？
$C1910_MAIN_0700_0300_00_cld,Security Officer,I’m fine.,だいじょうぶ
$C1910_MAIN_0700_0300_05_cld,Security Officer,NIBLE_13,NIBLE_13
$C1910_MAIN_0700_0400_00_cld,Cloud,You look rough.,つらそうだな
$C1910_MAIN_0700_0500_00_cld,Cloud,"I’ve never gotten motion sickness before, so I wouldn’t know.",俺　乗り物酔いなんて経験ないから<br>わからなくて
$C1910_MAIN_0700_0600_00_cld,Cloud,Preparations okay?,準備はオーケー？
$C1910_MAIN_0700_0700_00_skm,Security Officer,"Okay, okay!",オーケー　オーケー
$C1910_MAIN_0700_0700_02_skm,Security Officer,NIBLE_18,NIBLE_18
$C1910_MAIN_0700_0700_03_cld,Cloud,NIBLE_19,NIBLE_19
$C1910_MAIN_0700_0700_06_cld,Cloud,NIBLE_20,NIBLE_20
$C1910_MAIN_0700_0700_09_sep,Sephiroth,NIBLE_21,NIBLE_21
$C1910_MAIN_0700_0800_00_sep,Sephiroth,"Hey, calm down.",おい　落ち着け
$C1910_MAIN_0700_0900_00_cld,Cloud,No way...Impossible,そんなの　無理
$C1910_MAIN_0700_1000_00_sep,Sephiroth,"What are you, a kid?",子供か
$C1910_MAIN_0700_1100_00_cld,Cloud,Hey.,なあ
$C1910_MAIN_0700_1110_00_cld,Cloud,How about you tell me what this job’s about already?,そろそろ今回の仕事　教えてくれよ
$C1910_MAIN_0700_1200_00_cld,Cloud,"If it’s another Turks gig, I’m not doing it.",また　タークスみたいな仕事だったら<br>やってられないからな
$C1910_MAIN_0700_1300_00_sep,Sephiroth,Oh?,ほう？
$C1910_MAIN_0700_1400_00_cld,Cloud,"I finally made 1st Class, but the ceasefire ended the war for good.",せっかく１ｓｔになったのに<br>休戦協定で　戦争は事実上の終結
$C1910_MAIN_0700_1500_00_cld,Cloud,My chance to shine got ripped away.,俺は　活躍の舞台を奪われたんだ
$C1910_MAIN_0700_1600_00_cld,Cloud,I wanted to be a hero like you.,あんたみたいな　英雄になりたいのにさ
$C1910_MAIN_0700_1700_00_sep,Sephiroth,NIBLE_32,NIBLE_32
$C1910_MAIN_0700_1710_00_sep,Sephiroth,This mission’s to investigate an old mako reactor.,この任務は　老朽化した魔晄炉の調査
$C1910_MAIN_0700_1720_00_sep,Sephiroth,"Sorry to say, it’s close to a Turks job.",残念ながら　タークス案件に近い
$C1910_MAIN_0700_1800_00_cld,Cloud,NIBLE_35,NIBLE_35
$C1910_MAIN_0700_1900_00_cld,Cloud,"Well, whatever. Having work at all’s better than nothing.",まあ　いいや<br>仕事があるだけマシだな
