id,name,text,text_jp
$2500_CSMOA_Gi_Village,NPC,Village of the Gi,ギ族の里
$3120_MenuLog_NotReturn,NPC,Chase after Aerith.,エアリスを追いかけよう。
$4000_MenuLog_Bulletin_Board,NPC,There does not appear to be any information on the noticeboard.,掲示板に情報はなさそうだ。
$4000_MenuLog_Doorknob_NotGo,NPC,Follow Elmyra.,エルミナについていこう。
$4000_MenuLog_ExplosionPoint_Check,NPC,Investigate the explosion.,爆破場所を調べてみよう。
$4000_MenuLog_Follow_Aerith,NPC,Follow Aerith.,エアリスを追いかけよう。
$4000_MenuLog_Go_Home,NPC,Head home.,家に帰ろう。
$4000_MenuLog_KyrieBackpack,NPC,"Kyrie forgot her backpack, which is filled with traveling supplies. Perhaps she hoped to join Avalanche after all.",キリエの忘れていった旅支度の荷物がある。<br>アバランチを志願していたのかもしれない。
$4000_MenuLog_Minibike_Ride,NPC,Head to your motorcycle.,バイクに向かおう。
$4000_MenuLog_Together_Biggs,NPC,Follow Biggs.,ビッグスについていこう。
$4000_MenuLog_Wanted_Biggs,NPC,Ask around about Biggs.,ビッグスの情報を集めよう。
$4000_zack_5thStation,NPC,Sector 5 Undercity Station,伍番街スラム駅
$4000_zack_6thTown,NPC,Sector 6,六番街
$4000_zack_6th_Generator,NPC,Sector 6 Reactor,六番魔晄炉
$4000_zack_7thPlate_Prop,NPC,Main Pillar Interior,メインピラー内部
$4000_zack_AerithHouse,NPC,Aerith’s House,エアリスの家
$4000_zack_Church,NPC,Church,教会
$4000_zack_ForkedRoad,NPC,Corkscrew Tunnel,螺旋トンネル
$4000_zack_Garden,NPC,Aerith’s House - Flower Garden,エアリスの家　花畑
$4000_zack_Hideout,NPC,Abandoned House,廃屋
$4000_zack_Main_Entrance,NPC,Lobby,フロントロビー
$4000_zack_Raise,NPC,Move,ザックスを操作する
$4000_zack_Sinra_Building,NPC,Shinra Building - 1F,神羅ビル　１Ｆ
$4000_zack_Square,NPC,Empty Lot,野外集会所
$4000_zack_Town_Area,NPC,Center District,スラム中心地区
$Alexander_Boss_Chest,NPC,chest,胴体
$Alexander_Boss_LeftHand,NPC,left arm,左腕
$Alexander_Boss_RightHand,NPC,right arm,右腕
